StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.524966064453125000e+03 1.525966064453125000e+03 1.525380877341763380e+03 5.101066461423379127e-03 5.916939357022065193e-01 3.154538312505011932e-02 2.577989709378180578e+03 1.374421273022546472e+02 -1.616968767796565787e-03 1.430716002785932300e-04 nan nan nan nan nan nan nan nan 2.969032627939969249e+00 -1.330556042548183176e-03 7.215484910823624087e-01
1.526120605468750000e+03 1.527120605468750000e+03 1.525365096621871544e+03 2.813137866783955232e+01 5.633873711502005222e+00 9.681599337844566833e+01 2.707488976026772320e+02 4.652720297790874611e+03 -5.177973786138276857e-01 3.736205465071672904e+01 nan nan nan nan nan nan nan nan 5.802095851513329450e+01 -3.729257228752427822e-02 5.019282126282667011e-01
1.527058349609375000e+03 1.528058349609375000e+03 1.527703355307867014e+03 1.122745983299162052e-02 8.596422416684609269e-01 6.798311663017034268e-02 1.777138536541411440e+03 1.405415079241159617e+02 -3.317695776730415508e-03 5.762583769968474337e-04 nan nan nan nan nan nan nan nan -4.696223606537529349e+00 3.691293370196491522e-03 6.639963365921910388e-01
1.527269042968750000e+03 1.528269042968750000e+03 1.527649968452595203e+03 6.737763562489004071e-03 5.840771098429250463e-01 4.033558185169439786e-02 2.615493644089945064e+03 1.806224835746545807e+02 -1.434790669272746405e-03 1.704089784720680032e-04 nan nan nan nan nan nan nan nan -1.065328734299777702e+00 1.312664602253653043e-03 7.508378723517795672e-01
1.528184814453125000e+03 1.529184814453125000e+03 1.528597247318252357e+03 8.263892990670106825e-03 7.244142575512534377e-01 5.528945321592555057e-02 2.110114801557590454e+03 1.610502453223384407e+02 -1.769567218066416371e-03 2.512676025352656643e-04 nan nan nan nan nan nan nan nan 3.474759848544438867e+00 -1.657358545126994594e-03 6.118899206394781132e-01
1.529462036132812500e+03 1.530462036132812500e+03 1.529951032035334720e+03 1.359598595163324063e-02 8.079391117173821968e-01 1.068173648643214318e-01 1.893646451628291743e+03 2.503583766041191723e+02 -1.320214844946423702e-03 3.283237089828775542e-04 nan nan nan nan nan nan nan nan -2.787298705801272369e+00 2.436945514580932375e-03 5.884891880186271518e-01
1.530468750000000000e+03 1.531468750000000000e+03 1.530941501596838407e+03 4.765077949250272511e-03 6.384578113365676488e-01 3.182336391184564101e-02 2.397874181211625000e+03 1.195199142016096516e+02 -1.852803675575920165e-03 1.534343044632177210e-04 nan nan nan nan nan nan nan nan 2.629239624725785546e-04 6.157576148579745187e-04 7.715053950246529846e-01
1.531504272460937500e+03 1.532504272460937500e+03 1.531903880469724072e+03 5.800889197327391451e-03 6.589427797988991475e-01 3.674823452817831820e-02 2.324790448325788475e+03 1.296500203658955854e+02 -1.868233500201730256e-03 1.868715150352054767e-04 nan nan nan nan nan nan nan nan 2.645431730628624578e+00 -1.111533637093919339e-03 7.402912171921325335e-01
1.533776245117187500e+03 1.534776245117187500e+03 1.534209722898617656e+03 4.344565489017330855e-03 6.716997372449550197e-01 2.897857960359508100e-02 2.284070750409007815e+03 9.853975300785103286e+01 -2.380843921316825023e-03 1.796527791197425521e-04 nan nan nan nan nan nan nan nan 4.746679365382430404e+00 -2.476993759970758449e-03 8.183406164090513135e-01
1.536937988281250000e+03 1.537937988281250000e+03 1.537517134291924549e+03 3.506688464038419661e-03 6.869992875421453427e-01 2.325712496438391008e-02 2.238018528072494519e+03 7.576409123265824519e+01 -2.851801439750578128e-03 1.729582974326987163e-04 nan nan nan nan nan nan nan nan -2.979302307134726657e+00 2.555326326584140065e-03 8.818508941453795380e-01
