StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.520599975585937500e+03 1.521599975585937500e+03 1.521063094500343368e+03 9.679431339960171618e-03 4.949783883934592565e-01 5.554359740027264847e-02 3.072988902479611625e+03 3.448329516835647723e+02 -1.248052070992261694e-03 2.021748104429892817e-04 nan nan nan nan nan nan nan nan 4.101502992914780599e-01 -2.063121693895998937e-04 3.312711714540188535e-01
1.521442871093750000e+03 1.522442871093750000e+03 1.521941033184095659e+03 2.391372580793074611e-04 7.684317590810002888e-03 6.569950986156392623e-04 1.980580598339986173e+05 1.693360184749515975e+04 -1.443164516971665869e-04 8.173127802550681945e-06 nan nan nan nan nan nan nan nan 1.514778165398132437e+01 -9.891851135137659859e-03 6.059691184150914900e-01
1.521926269531250000e+03 1.522926269531250000e+03 1.522039988916917309e+03 3.652431643490743583e-03 3.562678985058806980e-01 2.323156833909162042e-02 4.272178311040824155e+03 2.785808176183390401e+02 -4.029675969539637734e-03 4.694678860925675891e-04 nan nan nan nan nan nan nan nan 3.291545005718077022e+01 -2.167443965199958300e-02 4.957616774979273222e-01
1.523096679687500000e+03 1.524096679687500000e+03 1.523596069057045725e+03 1.192315634399574348e-04 6.219850318088745306e-03 2.059893838029141827e-04 2.449570313012324914e+05 8.112501966378184079e+03 -4.038952534332760822e-04 1.034983950504278368e-05 nan nan nan nan nan nan nan nan 6.893900394922661157e+00 -4.464964542042471757e-03 7.442150480909619503e-01
1.523456176757812500e+03 1.524456176757812500e+03 1.524015863237066242e+03 8.645847239459148598e-03 2.136478486819445299e-01 3.461608031407746588e-02 7.133307789613430032e+03 1.155767104724057845e+03 -7.313659003383043327e-04 1.175402124567114469e-04 nan nan nan nan nan nan nan nan -1.288219000914061851e+01 8.514186620265295699e-03 2.751900202940732454e-01
1.524960083007812500e+03 1.525960083007812500e+03 1.525461731032635271e+03 3.307471920584290526e-04 1.804501828223044682e-02 5.515796353724719331e-04 8.453644696690666024e+04 2.584014150918344967e+03 -1.311737510786318943e-03 3.473205367613376089e-05 1.525475057278602662e+03 3.307471920584290526e-04 1.965250330044064856e-07 5.515796353724719331e-04 7.762242977180410385e+09 1.770142783395204800e+17 -4.994618368596028088e-05 3.473205367613376089e-05 1.895128666478860779e+01 -1.236389810153390272e-02 6.840944394777404014e-01
1.526820556640625000e+03 1.527820556640625000e+03 1.527321424255688271e+03 2.969441094472304076e-04 2.526986231964407567e-02 8.768514551955196214e-04 6.044043315061483008e+04 2.097252493552267424e+03 -8.310247283028010740e-04 1.718166262691037992e-05 nan nan nan nan nan nan nan nan -1.332933482734749475e+01 8.790202591146965144e-03 8.603143103976349515e-01
1.527955078125000000e+03 1.528955078125000000e+03 1.528455577608730664e+03 5.593878272767230939e-04 1.932561523667226944e-02 1.596177989612915758e-03 7.908962063512134773e+04 6.532320452406634104e+03 -1.674051110806408342e-04 9.799544250133921996e-06 nan nan nan nan nan nan nan nan 2.781484116819482111e+01 -1.813395816298267113e-02 8.403567292171941761e-01
1.528636108398437500e+03 1.529636108398437500e+03 1.529133825421304209e+03 1.129088968863716999e-04 4.642063209110519791e-03 1.884820576008420807e-04 3.294082300344863907e+05 1.337498827370576691e+04 -3.365010835298637534e-04 1.151304031046397123e-05 nan nan nan nan nan nan nan nan 8.897615371259802730e-01 -5.232082770170151708e-04 5.026011157426991671e-01
1.530165161132812500e+03 1.531165161132812500e+03 1.530592608283350273e+03 3.153605099939695271e-03 3.640793881321039982e-01 1.553685717433751085e-02 4.204007857011625674e+03 1.794033714608771106e+02 -2.078480247788596236e-03 1.103175224903143412e-04 1.530972230720343987e+03 3.153605099939695271e-03 1.133235071509996854e-02 1.553685717433751085e-02 1.350974982340050628e+05 4.333959752998357544e+03 -3.394828491313058505e-04 1.103175224903143412e-04 -1.595071108497959322e+01 1.048213775769475664e-02 9.121386205872765718e-01
1.530471679687500000e+03 1.531471679687500000e+03 1.530672119140625227e+03 4.323572217759447979e-03 9.675095963733264248e-02 1.721936808381002715e-02 1.582074353451678871e+04 2.815715806188173701e+03 -2.863120926891474737e-04 4.892236614269442090e-05 1.530972230244916773e+03 4.323572217759447979e-03 1.010482148965009125e-02 1.721936808381002715e-02 1.515090822547456191e+05 8.528891388991412896e+03 -3.106673095830003338e-04 4.892236614269442090e-05 -3.051011899697506990e+01 1.998992716003688760e-02 8.767503572186574612e-01
1.530969970703125000e+03 1.531969970703125000e+03 1.531469703307719328e+03 1.064646342262287777e-03 5.669624843982817505e-03 3.014966226054901794e-03 2.701183491766779916e+05 1.436422553902145301e+05 -2.530352870343043303e-05 9.435761009092380645e-06 nan nan nan nan nan nan nan nan -1.098998282776564395e+01 7.240834771608551171e-03 1.771784518411287923e-01
1.531824829101562500e+03 1.532824829101562500e+03 1.532242371702362334e+03 6.368379941619280345e-03 2.468842209136484778e-01 2.710572784339248045e-02 6.206319569683181726e+03 6.813995996298741602e+02 -1.028077585595768128e-03 1.192106345606165825e-04 nan nan nan nan nan nan nan nan 1.790164652493285047e+01 -1.162001103397347808e-02 4.783290545542036032e-01
1.532311157226562500e+03 1.533311157226562500e+03 1.532808821928313591e+03 1.022294731704799433e-04 4.853489388774807380e-03 1.813161291173236004e-04 3.158158386981142103e+05 1.179821377980378566e+04 -3.867735811618934353e-04 1.235222960440305417e-05 nan nan nan nan nan nan nan nan -1.558857917407333149e+00 1.078020469652507920e-03 4.646741262373734749e-01
1.533367797851562500e+03 1.534367797851562500e+03 1.533956645053545117e+03 3.056489844347223556e-03 3.916850237024689374e-01 1.574539353146981943e-02 3.916301497957620086e+03 1.574318766801229117e+02 -2.247392179777122842e-03 1.187213991357580179e-04 nan nan nan nan nan nan nan nan -8.753679460454216965e+00 5.769915505226710754e-03 7.728131709770983404e-01
1.534150756835937500e+03 1.535150756835937500e+03 1.534661522325364331e+03 5.954532848159168560e-04 1.013801795776005966e-02 1.100017258459924045e-03 1.513768794570610044e+05 1.642502317804439372e+04 -2.681628957036513434e-04 3.405059932656531914e-05 1.534653579823913333e+03 5.954532848159168560e-04 4.600141838379086072e-03 1.100017258459924045e-03 3.336100567639598157e+05 2.489635798281746247e+04 -3.525261703086255793e-04 3.405059932656531914e-05 -8.658201698052264916e+00 5.706908348173239491e-03 7.490343124362791594e-01
1.535195312500000000e+03 1.536195312500000000e+03 1.535954406880692204e+03 5.813396546515062343e-04 2.853490815313796877e-02 1.792628537633681168e-03 5.382720696480615879e+04 3.381548901091030530e+03 -2.258129647952018316e-04 1.074604710671565697e-05 1.535609614908443064e+03 5.813396546515062343e-04 4.822670190662948775e-01 1.792628537633681168e-03 3.184148105092275273e+03 1.436513564265301284e+02 -3.228872170632037832e-03 1.074604710671565697e-05 1.676073085394845563e+01 -1.084963603762052059e-02 8.440968272870801314e-01
1.535453979492187500e+03 1.536453979492187500e+03 1.535952224922895084e+03 8.538510313943609414e-04 1.412032905612389290e-02 2.446246649884575852e-03 1.087759512415018980e+05 1.884466043647185870e+04 -1.010406198681051634e-04 1.654222667212376757e-05 1.535965473450060927e+03 8.538510313943609414e-04 8.164785744258376207e-03 2.446246649884575852e-03 1.881207323205240828e+05 9.257553089581851964e+04 -2.622327012997653634e-05 1.654222667212376757e-05 -1.264327047939062920e+00 8.812948317744512044e-04 2.879771131925960015e-01
1.535993286132812500e+03 1.536993286132812500e+03 1.536498725591766970e+03 1.105155770392272815e-04 8.633041430941724298e-03 1.845161164966307760e-04 1.779788430164130405e+05 3.803985558836323889e+03 -5.793377280976067011e-04 1.001671960246885382e-05 nan nan nan nan nan nan nan nan 7.334066488386903337e+00 -4.715405469825285217e-03 8.645029460155170264e-01
1.536754150390625000e+03 1.537754150390625000e+03 1.537353711073884369e+03 3.490261427660951068e-03 6.017829307879754563e-02 1.449522802217268098e-02 2.554664867381451404e+04 6.153456317892698280e+03 -1.846092873445511146e-04 4.991796627110241453e-05 1.537222081312625050e+03 3.490261427660951068e-03 2.186190606615527332e-01 1.449522802217268098e-02 7.031509863142356153e+03 9.273437361324371295e+02 -8.742309082488107248e-04 4.991796627110241453e-05 -9.108141055269205921e+00 5.983842373321052524e-03 5.490441038120421613e-01
1.537005859375000000e+03 1.538005859375000000e+03 1.537286341548070368e+03 5.608742431493799786e-03 2.241616607229907632e-01 2.763772211715302685e-02 6.857936083226033588e+03 8.455403624199882415e+02 -8.842191489152970846e-04 1.298619821053797910e-04 nan nan nan nan nan nan nan nan -1.900102604026107045e+01 1.241847501239901064e-02 7.450041546978461993e-01
1.537851684570312500e+03 1.538851684570312500e+03 1.538350684568212955e+03 1.104704966864675263e-04 7.177030745087569809e-03 3.573837165754373507e-04 2.143436107781983446e+05 1.067334374965903589e+04 -4.303503860829662408e-04 1.227911973388326669e-05 nan nan nan nan nan nan nan nan -4.000351947840856681e+00 2.666429438743121803e-03 8.389233380504916848e-01
1.538637695312500000e+03 1.539637695312500000e+03 1.538855162555836614e+03 4.769144026831778453e-03 9.110926098184217448e-02 1.843147251304322679e-02 1.689021671312344552e+04 3.416903636018430916e+03 -1.463118449587996674e-04 2.924674517997632274e-05 1.539074494149111615e+03 4.769144026831778453e-03 2.220010042609740775e-01 1.843147251304322679e-02 6.932736630055272144e+03 3.035045759581033735e+02 -1.235308178461913932e-03 2.924674517997632274e-05 6.670860370882437884e+00 -4.268236546793302381e-03 7.321209306906276693e-01
1.539703247070312500e+03 1.540703247070312500e+03 1.540201031891077264e+03 1.242291889297676157e-04 7.584264304109689103e-03 3.341740223751642918e-04 2.030785017679945158e+05 8.947942354418357354e+03 -4.250487285058198242e-04 1.159804093179318208e-05 nan nan nan nan nan nan nan nan 1.758973162487382069e+01 -1.136150689467431418e-02 8.723977107349648596e-01
