StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.520036743164062500e+03 1.521036743164062500e+03 1.520540292333040043e+03 1.180937177887054357e-04 6.852062698394294563e-03 2.157443704851685852e-04 2.219098626592196815e+05 6.987064440497367286e+03 -6.272752685551634053e-04 1.705690134159397657e-05 1.520729004142730673e+03 1.180937177887054357e-04 1.799325232053763934e-02 2.157443704851685852e-04 8.451662751413532533e+04 1.223753406288905717e+04 -1.531494793329493296e-04 1.705690134159397657e-05 5.237639668910328616e+00 -3.375542290633335146e-03 5.462329913216068533e-01
1.521280151367187500e+03 1.522280151367187500e+03 1.521763809587047717e+03 3.632288833252332160e-03 1.079244291232338421e-01 1.207903019881896405e-02 1.410027203247391844e+04 1.578119181302958850e+03 -7.831324422299449067e-04 7.177573651790269298e-05 nan nan nan nan nan nan nan nan -1.633222331013888962e+01 1.080305449718730292e-02 3.975050117162315377e-01
1.521750488281250000e+03 1.522750488281250000e+03 1.522247648283449053e+03 1.047927092681023484e-04 5.048246073527547922e-03 1.871618703066273625e-04 3.015399063579625799e+05 1.117948135335302322e+04 -4.914640777425119140e-04 1.572623849459967092e-05 1.522093775751445719e+03 1.047927092681023484e-04 1.236016987258104416e-03 1.871618703066273625e-04 1.231450531378176762e+06 3.423238728317156900e+06 -2.357614710512805484e-06 1.572623849459967092e-05 -1.806123030494234527e+01 1.193864294089263568e-02 6.329150220197501397e-01
1.522596313476562500e+03 1.523596313476562500e+03 1.523087631445924899e+03 1.558428760090987486e-03 1.434353382607385097e-01 5.479846369650179412e-03 1.061863589485345437e+04 4.056775274872867953e+02 -1.157137359702198505e-03 3.818997530628522676e-05 nan nan nan nan nan nan nan nan 2.086074046705347484e+01 -1.362457837672471569e-02 8.497543792933411888e-01
1.523462158203125000e+03 1.524462158203125000e+03 1.523962006728844472e+03 1.024711556159212334e-04 7.669997041733588386e-03 2.809560619923915379e-04 1.986913421787181578e+05 7.278169306567569947e+03 -2.037330331396050153e-04 4.754703819486666131e-06 nan nan nan nan nan nan nan nan 1.300460911476699799e+01 -8.467817258770136274e-03 8.588592541334044705e-01
1.524283081054687500e+03 1.525283081054687500e+03 1.524775851678375375e+03 1.632808815761195055e-03 2.054221197197631243e-01 6.314692345251317340e-03 7.422646858860548491e+03 2.281727566317243543e+02 -1.831733423566039767e-03 5.326940981548324667e-05 nan nan nan nan nan nan nan nan -1.716861910529157598e+01 1.132645711802805592e-02 8.775956735839437473e-01
1.525364624023437500e+03 1.526364624023437500e+03 1.525869541634828465e+03 3.433161664676882981e-04 6.202279879403271336e-03 8.531081957750520856e-04 2.460175244109806663e+05 3.383909956668548693e+04 -9.898543728748309463e-05 1.459745633200609524e-05 1.525863871341462982e+03 3.433161664676882981e-04 3.850246172720080302e-03 8.531081957750520856e-04 3.963029382777068531e+05 4.265515117515994643e+04 -1.351156165142618660e-04 1.459745633200609524e-05 -4.380658547742441122e+00 2.945012187926273825e-03 7.195195140231346320e-01
1.525897827148437500e+03 1.526897827148437500e+03 1.526442267118851305e+03 3.417571992921654509e-03 3.050727845635704538e-01 1.550873689644156374e-02 5.003534711569049250e+03 2.543606227615662192e+02 -1.656095606463513746e-03 9.485475625075891161e-05 nan nan nan nan nan nan nan nan 5.024476572255617057e+00 -3.215873998576674209e-03 6.942320947138824749e-01
1.527170166015625000e+03 1.528170166015625000e+03 1.527669891119460772e+03 1.160738656639861299e-04 4.533829908385246868e-03 4.063120201361742853e-04 3.369490964568519266e+05 3.019664849166154090e+04 -2.174453166619557201e-04 9.966829636470302711e-06 nan nan nan nan nan nan nan nan 1.508330939295014872e+01 -9.803944293440268812e-03 6.985600897074699667e-01
1.527595581054687500e+03 1.528595581054687500e+03 1.528096554475447647e+03 3.706229634717687817e-03 1.352637861231456851e-01 1.291118976412550939e-02 1.129715941179002039e+04 1.078335696410951414e+03 -8.213413343336638988e-04 6.735396126052670682e-05 nan nan nan nan nan nan nan nan -1.541839068668211432e+01 1.016100570126260774e-02 4.752443151482133032e-01
1.528997680664062500e+03 1.529997680664062500e+03 1.529496001589539901e+03 1.759725620380344279e-04 8.059009009611053931e-03 5.290395740471177033e-04 1.897871065493891074e+05 1.245871420281781320e+04 -2.731119766657894021e-04 1.111788189307133135e-05 1.529512620239332364e+03 1.759725620380344279e-04 5.483502106799029163e-03 5.290395740471177033e-04 2.789298864940491039e+05 3.737725138515751314e+04 -8.537519504128512622e-05 1.111788189307133135e-05 1.388843517356372281e+01 -9.007004900548912230e-03 7.344693867083691430e-01
1.530421752929687500e+03 1.531421752929687500e+03 1.531310564021487608e+03 7.703928397164064952e-04 3.656841030208056453e-02 2.446345330864716644e-03 4.187522923123522924e+04 2.801359716361266237e+03 -9.795203468537223932e-04 4.848337919971131401e-05 nan nan nan nan nan nan nan nan -4.103219881490661081e+00 2.750130902456071180e-03 5.516611414883472175e-01
1.530817260742187500e+03 1.531817260742187500e+03 1.531320912778695856e+03 2.386971173358750200e-04 8.304419973542080669e-03 5.367365670400063181e-04 1.843982984552191629e+05 1.191814840729275420e+04 -6.949445683671724109e-04 4.305571998273828490e-05 1.531288968206316667e+03 2.386971173358750200e-04 4.161493386864374699e-02 5.367365670400063181e-04 3.679662144940042344e+04 4.809066812883400416e+03 -5.224698192445233636e-04 4.305571998273828490e-05 -9.742355319248186873e+00 6.431991831629882764e-03 6.078624064411050076e-01
1.532687744140625000e+03 1.533687744140625000e+03 1.533063800302527170e+03 2.623853276545871807e-04 1.907748729266442109e-02 5.792815586981343726e-04 8.035983862990244234e+04 2.440099781741143488e+03 -2.138399012298542422e-03 5.752179670157064206e-05 1.533178513996687116e+03 2.623853276545871807e-04 7.501829373860994903e-03 5.792815586981343726e-04 2.043739516842143785e+05 1.028150641779327634e+04 -7.907326359195932875e-04 5.752179670157064206e-05 -3.034615558210398412e+00 2.056212864310287373e-03 3.753184380706854339e-01
