status	reason	candidate_idx	candidate_wl	fit_center_wl	min_rr	baseline	depth	depth_fraction	noise	depth_sigma	edge_distance_nm	duplicates_merged	merged_candidate_wavelengths
selected	accepted	539	1520.5388	1520.5377	0.004554232	0.012476925	0.0079226935	0.63498764	0.00035806514	22.126403	0.49829102	0	
selected	accepted	2250	1522.2474	1522.2505	-4.0044963e-05	0.014506026	0.014546071	1.0027606	0.00034837251	41.754359	0.49633789	0	
selected	accepted	3104	1523.1003	1523.0963	0.0090374984	0.0135472	0.0045097012	0.33288807	0.00035722085	12.624406	0.49536133	1	1523.100342,1523.383911
selected	accepted	3968	1523.9631	1523.9622	0.00074719247	0.011443652	0.01069646	0.93470682	0.00035714891	29.94958	0.49829102	0	
selected	accepted	4787	1524.781	1524.7831	0.0074597214	0.011434124	0.0039744028	0.34759136	0.00036571459	10.867499	0.49731445	0	
selected	accepted	5874	1525.8666	1525.8646	0.0024397847	0.014115743	0.011675958	0.8271586	0.00035646087	32.75523	0.49731445	0	
selected	accepted	6408	1526.3999	1526.3978	0.010701634	0.014804974	0.00410334	0.27715956	0.00036518635	11.236291	0.49731445	0	
selected	accepted	7678	1527.6681	1527.6702	-0.00047673672	0.012937916	0.013414652	1.036848	0.00036431435	36.821641	0.49731445	0	
selected	accepted	9508	1529.4957	1529.4977	0.0021196792	0.014654435	0.012534756	0.85535579	0.00036370176	34.46438	0.49731445	1	1529.495728,1529.770264
selected	accepted	11335	1531.3202	1531.3173	0.0032569716	0.012861198	0.0096042268	0.74675987	0.00035342558	27.174679	0.49633789	0	
selected	accepted	13202	1533.1847	1533.1877	0.0063908909	0.016013684	0.0096227928	0.60091063	0.00036146579	26.621586	0.49633789	0	
selected	accepted	15051	1535.0312	1535.0332	-0.0010585521	0.01240946	0.013468012	1.085302	0.00037606896	35.812613	0.49731445	1	1534.748535,1535.031250
selected	accepted	16893	1536.8707	1536.8727	-0.0013944013	0.014046237	0.015440639	1.0992722	0.00035943371	42.958238	0.49731445	0	
selected	accepted	18129	1538.1051	1538.0911	0.0083848432	0.014094184	0.0057093411	0.40508489	0.00034980322	16.32158	0.48535156	0	
selected	accepted	18762	1538.7372	1538.7372	0.00093655885	0.014898684	0.013962126	0.93713815	0.00036273661	38.491085	0.49926758	1	1538.507568,1538.737183
selected	accepted	19815	1539.7888	1539.7927	0.011788741	0.017085785	0.005297044	0.31002637	0.0003485694	15.196526	0.49536133	0	
selected	accepted	20614	1540.5867	1540.5867	-0.00056237255	0.016058321	0.016620694	1.0350206	0.00029470945	56.396881	0.49926758	0	
selected	accepted	21510	1541.4814	1541.4825	0.0084851634	0.013833741	0.0053485771	0.38663275	0.00029431622	18.172893	0.49829102	0	
selected	accepted	22480	1542.4502	1542.4502	0.00091539368	0.014016095	0.013100702	0.93468982	0.00032064817	40.856935	0.49926758	0	
selected	accepted	23279	1543.2482	1543.2511	0.01110829	0.015352919	0.0042446284	0.27647045	0.00035605563	11.921251	0.49633789	0	
selected	accepted	24346	1544.3137	1544.3147	0.0010153074	0.015903438	0.01488813	0.93615799	0.00036454778	40.839997	0.49829102	0	
selected	accepted	25018	1544.9847	1544.9637	0.010792062	0.014838958	0.0040468961	0.27272103	0.00032447189	12.472255	0.47827148	0	
selected	accepted	26220	1546.1852	1546.1871	0.0040607801	0.014202011	0.010141231	0.71407006	0.00037278327	27.204093	0.49731445	0	
selected	accepted	26732	1546.6964	1546.6954	0.011259189	0.01507673	0.0038175408	0.25320748	0.00036382792	10.49271	0.49829102	0	
selected	accepted	28088	1548.0507	1548.0516	-0.0010921854	0.013452124	0.014544309	1.0811906	0.00035477252	40.996154	0.49829102	0	
selected	accepted	29964	1549.9241	1549.9241	-0.00030770381	0.014919134	0.015226838	1.0206248	0.00035443658	42.960683	0.49926758	1	1549.924072,1550.186768
