StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.520029785156250000e+03 1.521029785156250000e+03 1.520533257785297337e+03 1.578123277537896434e-04 6.759388589406668292e-03 2.947241402947291277e-04 2.249513010937529325e+05 9.808369195866062000e+03 -5.554484475690920839e-04 2.141812325821832640e-05 1.520517830883462693e+03 1.578123277537896434e-04 7.008240666369932974e-03 2.947241402947291277e-04 2.169614177463810192e+05 4.339827964457388589e+04 -9.057596830283303597e-05 2.141812325821832640e-05 3.254318929989892695e+00 -2.073091548069026357e-03 5.988647339345490872e-01
1.521249145507812500e+03 1.522249145507812500e+03 1.521756203423997249e+03 3.329541193647996174e-03 1.153453676077870055e-01 1.119498879155194498e-02 1.319304134170762336e+04 1.280467114090297855e+03 -8.172215274188131869e-04 6.569320095413543515e-05 nan nan nan nan nan nan nan nan -4.352779781145310167e+00 2.928377905152927240e-03 3.221586440397520290e-01
1.521746459960937500e+03 1.522746459960937500e+03 1.522243537542785816e+03 8.837816364786834115e-05 5.209390690447544998e-03 1.572837716280663524e-04 2.922114366146740504e+05 8.822551349042332731e+03 -4.812452533651150120e-04 1.251528898561659299e-05 1.522078342139135202e+03 8.837816364786834115e-05 3.407893669070807385e-03 1.572837716280663524e-04 4.466331669773439644e+05 4.075436022683343617e+05 -8.452050220658430249e-06 1.251528898561659299e-05 -1.947465253920759309e+01 1.286314892557240477e-02 7.445101548847439243e-01
1.522630249023437500e+03 1.523630249023437500e+03 1.523105486223161279e+03 1.573824837413077609e-03 1.612191391899470416e-01 5.700056503312424076e-03 9.447423512345212657e+03 3.340226732673558558e+02 -1.281593811018723024e-03 4.032049301439085477e-05 nan nan nan nan nan nan nan nan 1.525108208306346746e+01 -9.943356029003565591e-03 8.303849823156730370e-01
1.523468139648437500e+03 1.524468139648437500e+03 1.523969057862846967e+03 1.214147590272979233e-04 9.479532163784725948e-03 3.349182442436040956e-04 1.607641634135664499e+05 5.679905971900151599e+03 -2.182532831211073002e-04 5.015007775550336987e-06 nan nan nan nan nan nan nan nan 9.973857316682273932e+00 -6.479561695045818644e-03 8.409706756515272774e-01
1.524327026367187500e+03 1.525327026367187500e+03 1.524800726696363427e+03 1.622460276679017202e-03 1.892337357273990162e-01 6.197709249794655477e-03 8.057763700722569411e+03 2.639047231986380098e+02 -1.699956446957895688e-03 5.112351147975219322e-05 1.524647774921355222e+03 1.622460276679017202e-03 4.936187978898136028e-03 6.197709249794655477e-03 3.088714978925274918e+05 3.491486706205278751e+05 -5.454072620108511911e-06 5.112351147975219322e-05 -6.253582667516865534e+00 4.165996472625489895e-03 8.288178183560711565e-01
1.525362548828125000e+03 1.526362548828125000e+03 1.525868415033136444e+03 3.856461789489410742e-04 7.420763792829772679e-03 9.465187476707835005e-04 2.056214774694067310e+05 2.622702848148797420e+04 -9.743367195809197968e-05 1.311525157307015975e-05 1.525862203609747439e+03 3.856461789489410742e-04 3.836524295804733149e-03 9.465187476707835005e-04 3.977199376212184434e+05 3.973130665506204241e+04 -1.199280903672966613e-04 1.311525157307015975e-05 -1.038822726810669117e+01 6.879012069099431359e-03 7.807923045845814869e-01
1.525896850585937500e+03 1.526896850585937500e+03 1.526398772268215680e+03 1.010610652361111205e-03 6.877165349554648088e-02 3.380530578501654212e-03 2.219517336989814066e+04 1.091023095493133724e+03 -4.448655896503852852e-04 1.892164745291639478e-05 1.526542391601442660e+03 1.010610652361111205e-03 1.217871067355821429e-01 3.380530578501654212e-03 1.253451561925838723e+04 8.102302737669328963e+02 -5.213913306947300184e-04 1.892164745291639478e-05 7.932928569614899894e-01 -4.470578914849045052e-04 8.060567150978372730e-01
1.527166137695312500e+03 1.528166137695312500e+03 1.527665797661646593e+03 1.174306635050903399e-04 3.947226646678351353e-03 4.041186589729593931e-04 3.870225691112010390e+05 3.962352700297754200e+04 -1.822033994050064405e-04 9.558417698289145149e-06 1.527683752989520599e+03 1.174306635050903399e-04 5.714217786628842527e-03 4.041186589729593931e-04 2.673478348277643090e+05 5.645646326248727564e+04 -4.862367024795691956e-05 9.558417698289145149e-06 1.986218511297371236e+01 -1.293311977005683934e-02 7.208400132787229353e-01
1.527561645507812500e+03 1.528561645507812500e+03 1.528113185003154513e+03 4.102179373712480301e-03 1.708009650912257760e-01 1.522654800636140220e-02 8.946747954187381765e+03 7.975838263809177988e+02 -1.091346720557832351e-03 8.913365667023724528e-05 nan nan nan nan nan nan nan nan -2.184463813896578177e+00 1.498396733356131393e-03 3.522294496129690922e-01
