status	reason	candidate_idx	candidate_wl	fit_center_wl	min_rr	baseline	depth	depth_fraction	noise	depth_sigma	edge_distance_nm	duplicates_merged	merged_candidate_wavelengths
selected	accepted	532	1520.5317	1520.5298	0.0019070941	0.011919822	0.010012728	0.84000649	0.00036725838	27.263442	0.49731445	0	
selected	accepted	2246	1522.2435	1522.2465	-0.00084463727	0.013015484	0.013860121	1.0648948	0.000348594	39.760067	0.49633789	0	
selected	accepted	3117	1523.1133	1523.1302	0.0088187034	0.012742295	0.0039235914	0.30791875	0.00036641864	10.707947	0.48242188	1	1523.113281,1523.394897
selected	accepted	3975	1523.9701	1523.9681	0.0017912858	0.011221402	0.0094301162	0.84036881	0.0003660183	25.764057	0.49731445	0	
selected	accepted	4798	1524.792	1524.827	0.006761395	0.01095448	0.0041930849	0.38277352	0.00031997293	13.104499	0.46435547	0	
selected	accepted	5872	1525.8646	1525.8625	0.001669732	0.01289978	0.011230048	0.87056121	0.00032429542	34.629068	0.49731445	0	
selected	accepted	6414	1526.4059	1526.3969	0.010092115	0.01390977	0.003817655	0.27445853	0.00031035359	12.300985	0.49035645	0	
selected	accepted	7674	1527.6642	1527.6661	-0.00030125584	0.012559606	0.012860862	1.0239861	0.0003645519	35.278548	0.49731445	0	
selected	accepted	9750	1529.7373	1529.4987	0.0022085377	0.013370142	0.011161605	0.83481569	0.00036334158	30.719315	0.26062012	1	1529.498657,1529.737305
selected	accepted	11538	1531.5229	1531.3271	0.0036005502	0.012354223	0.0087536724	0.70855712	0.00035685492	24.530059	0.30358887	1	1531.322266,1531.522949
selected	accepted	13204	1533.1866	1533.1857	0.004307294	0.014794583	0.010487289	0.70886006	0.00035458567	29.576178	0.49829102	0	
selected	accepted	15053	1535.0332	1535.0342	-0.001423216	0.012017331	0.013440547	1.1184303	0.0003782077	35.537476	0.49829102	1	1534.746582,1535.033203
selected	accepted	16894	1536.8717	1536.8727	-0.0011191623	0.012165063	0.013284226	1.0919981	0.00037725652	35.212713	0.49841309	0	
selected	accepted	18154	1538.13	1538.0901	0.0078589315	0.012836073	0.0049771417	0.38774644	0.00035848145	13.883959	0.45935059	0	
selected	accepted	18763	1538.7382	1538.7372	0.00084792215	0.013190548	0.012342626	0.93571744	0.00035845602	34.432747	0.49829102	1	1538.508545,1538.738159
selected	accepted	19818	1539.7917	1539.7968	0.010423849	0.015009044	0.0045851953	0.30549548	0.00035774259	12.817024	0.49438477	0	
selected	accepted	20615	1540.5876	1540.5876	-0.0010821397	0.014433589	0.015515729	1.0749737	0.00036613495	42.377076	0.49926758	0	
selected	accepted	21524	1541.4955	1541.4965	0.0072467275	0.012271884	0.0050251566	0.40948534	0.00035707824	14.072985	0.49829102	0	
selected	accepted	22483	1542.4532	1542.4532	0.001434448	0.011901382	0.010466934	0.87947215	0.00028963885	36.13788	0.49926758	0	
selected	accepted	23298	1543.2671	1543.269	0.0097492826	0.013397744	0.0036484609	0.27231906	0.00029367183	12.423599	0.49731445	0	
selected	accepted	24347	1544.3147	1544.3187	0.00057525018	0.014472174	0.013896924	0.96025129	0.00036472666	38.102297	0.49523926	0	
selected	accepted	25026	1544.9928	1545.0227	0.0096979142	0.012927365	0.0032294504	0.24981506	0.00031544727	10.237687	0.46936035	0	
selected	accepted	26220	1546.1852	1546.1831	0.0044037796	0.012143884	0.007740104	0.63736645	0.00037295437	20.753488	0.49731445	0	
selected	accepted	26748	1546.7124	1546.7134	0.0096844713	0.013023552	0.0033390804	0.25638785	0.00036390321	9.1757378	0.49841309	0	
