StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.521353027343750000e+03 1.522353027343750000e+03 1.521851699398674555e+03 9.969999108033347844e-05 4.150816523977423830e-03 3.038945816997681349e-04 3.666391156071614241e+05 2.684282478607138546e+04 -2.900652062359679686e-04 1.245525823233253253e-05 nan nan nan nan nan nan nan nan 8.887251615454998088e+00 -5.764326187017342756e-03 7.044665575879973662e-01
1.521778442382812500e+03 1.522778442382812500e+03 1.522221074515986629e+03 1.326194373040569946e-03 1.895570824413746192e-02 3.929114880378097724e-03 8.030409916162180889e+04 1.664533062602171776e+04 -1.200256878816662910e-04 1.841300646274563005e-05 nan nan nan nan nan nan nan nan 1.236540531074029836e+00 -8.858638378795413281e-04 8.478503542645954294e-02
1.522843994140625000e+03 1.523843994140625000e+03 1.523345170042917744e+03 3.612384453398314178e-04 2.169063662542964482e-02 1.019246595644686046e-03 7.023054216200274823e+04 3.300144769651060869e+03 -4.474816701516393753e-04 1.434491274210952594e-05 nan nan nan nan nan nan nan nan -5.767296017775314532e+00 3.861838736230795762e-03 6.871740118806637376e-01
1.523080688476562500e+03 1.524080688476562500e+03 1.523345060095498866e+03 3.645523188487572136e-04 2.220620997286985865e-02 1.055467471263162645e-03 6.859995748741569696e+04 3.260575476291573978e+03 -4.581984240388854322e-04 1.508102041258512024e-05 nan nan nan nan nan nan nan nan -1.158865752216485356e+00 8.368062863795277823e-04 6.858533051356694443e-01
1.524571655273437500e+03 1.525571655273437500e+03 1.525298204605112687e+03 3.355307151043659757e-04 1.509444704508853922e-02 9.513394865567730008e-04 1.010502869067613356e+05 6.368774409272478806e+03 -3.632656212007738571e-04 1.514931986726403046e-05 1.525184965966791424e+03 3.355307151043659757e-04 4.832945775174127268e-02 9.513394865567730008e-04 3.155808148730657194e+04 4.439702817717723519e+03 -2.402154882751585086e-04 1.514931986726403046e-05 8.374496625698876429e+00 -5.420955439458315095e-03 6.554344190247227697e-01
1.524799316406250000e+03 1.525799316406250000e+03 1.525186597568262187e+03 2.390948646560903286e-03 5.002151520102810639e-02 7.403215736091875269e-03 3.049061171855335124e+04 4.512629727095605631e+03 -2.429850966274062229e-04 2.735472245646559892e-05 1.525298182199704115e+03 2.390948646560903286e-03 1.549152330605841309e-02 7.403215736091875269e-03 9.846018058167280105e+04 6.288642205968139933e+03 -3.708679578908515842e-04 2.735472245646559892e-05 4.852464270618822795e+00 -3.111708632065296291e-03 5.876586130260510465e-01
1.526133544921875000e+03 1.527133544921875000e+03 1.526954168127679395e+03 7.756584234706684171e-03 2.935502916967339115e-01 5.318419308191349448e-02 5.201678251797385201e+03 9.424179380074496066e+02 -1.594750479688047127e-03 4.757411579543418916e-04 nan nan nan nan nan nan nan nan -6.626078094478129010e+00 4.266824261918320156e-03 2.270444778572371369e-01
1.526625854492187500e+03 1.527625854492187500e+03 1.527125562356488444e+03 8.594563182205228278e-05 5.418122618400883495e-03 2.644180334356536479e-04 2.818551129075789941e+05 1.375523957611205697e+04 -2.626572872376684541e-04 7.028147913221251092e-06 1.526829718055875674e+03 8.594563182205228278e-05 7.023334064517322691e-04 2.644180334356536479e-04 2.173938622355430853e+06 1.994833020972916856e+07 -2.344133948819795797e-06 7.028147913221251092e-06 -8.915205425109013149e+00 5.916297512568731432e-03 8.038765131091972771e-01
1.528439453125000000e+03 1.529439453125000000e+03 1.528949889966761475e+03 1.061629303938237015e-04 4.152677659427957135e-03 3.364977254435501755e-04 3.681841008043418988e+05 2.983451224149479094e+04 -1.619897856537015439e-04 7.615877881642175405e-06 1.528939308907438090e+03 1.061629303938237015e-04 4.500039577307478680e-03 3.364977254435501755e-04 3.397613026821983512e+05 2.666884138124463789e+04 -1.886973147434721563e-04 7.615877881642175405e-06 -2.336390386105074712e-01 2.235819632035907661e-04 7.836711866954713113e-01
1.530281005859375000e+03 1.531281005859375000e+03 1.530779641221216707e+03 7.560612431611471527e-05 5.781192521428027593e-03 2.548457550060201772e-04 2.647861380757295410e+05 1.167226710111560897e+04 -2.884689982024019246e-04 6.599651254973068156e-06 nan nan nan nan nan nan nan nan 5.520439314623872384e+00 -3.531784625671070127e-03 8.510731139434192238e-01
