status	reason	candidate_idx	candidate_wl	fit_center_wl	min_rr	baseline	depth	depth_fraction	noise	depth_sigma	edge_distance_nm	duplicates_merged	merged_candidate_wavelengths
selected	accepted	1853	1521.851	1521.853	-0.00047960394	0.015334472	0.015814075	1.0312762	0.00036689395	43.102579	0.49731445	0	
selected	accepted	3350	1523.3459	1523.344	0.0065361923	0.015210328	0.0086741361	0.57027934	0.000348094	24.918948	0.49731445	1	1523.345947,1523.583618
selected	accepted	5077	1525.0707	1525.2993	0.0024349339	0.013205847	0.010770913	0.81561698	0.00037475629	28.741112	0.27062988	1	1525.070679,1525.298340
selected	accepted	7134	1527.1249	1527.1259	0.00052385313	0.015871136	0.015347283	0.96699334	0.00036457232	42.096677	0.49841309	0	
selected	accepted	8954	1528.9424	1528.9395	0.00056995146	0.013490521	0.01292057	0.95775171	0.00037288817	34.649986	0.49633789	0	
selected	accepted	10793	1530.7789	1530.781	0.00013803052	0.014664369	0.014526338	0.99058735	0.00033562826	43.281034	0.49731445	0	
selected	accepted	11730	1531.7147	1532.0193	0.011415736	0.013501672	0.0020859361	0.15449465	0.00036237534	5.756286	0.19470215	0	
selected	accepted	12636	1532.6195	1532.6224	-0.0011247175	0.013933031	0.015057748	1.0807231	0.00035280377	42.680237	0.49633789	0	
selected	accepted	14474	1534.455	1534.457	-0.0011718949	0.014661137	0.015833032	1.0799321	0.00036976431	42.819254	0.49731445	0	
selected	accepted	15461	1535.4407	1535.7483	0.010170972	0.012053088	0.0018821159	0.15615217	0.00036935889	5.095629	0.19165039	0	
selected	accepted	16331	1536.3094	1536.3104	-0.00079965429	0.012083246	0.0128829	1.0661788	0.00036872381	34.939161	0.49841309	0	
selected	accepted	18182	1538.158	1538.163	-0.00030114375	0.013786241	0.014087385	1.0218438	0.00035407221	39.786756	0.49438477	0	
selected	accepted	20022	1539.9955	1539.9965	0.0039291614	0.013748697	0.0098195358	0.71421573	0.00035776181	27.447132	0.49841309	0	
selected	accepted	21900	1541.871	1541.87	-0.00091338654	0.011963323	0.01287671	1.0763489	0.00036560924	35.219869	0.49829102	0	
