StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.520485229492187500e+03 1.521485229492187500e+03 1.521012926466429690e+03 2.406129850209298270e-03 2.452984331922712646e-02 7.640607749247798133e-03 6.200663031851574488e+04 1.931395704232456410e+04 -5.372427508955632074e-05 1.347519517558100630e-05 1.520986745462987074e+03 2.406129850209298270e-03 9.663025405564703782e-03 7.640607749247798133e-03 1.574027472376392107e+05 4.005569461069031968e+04 -4.002204812603161988e-05 1.347519517558100630e-05 -3.992607710340453142e+00 2.705035895834124061e-03 2.331197993011864256e-01
1.521354003906250000e+03 1.522354003906250000e+03 1.521852930253164232e+03 1.043422798834680166e-04 3.952976069814543442e-03 2.280065839121165467e-04 3.849891583898616955e+05 2.220606988188861214e+04 -2.964331436505676502e-04 1.162013033669912814e-05 nan nan nan nan nan nan nan nan 2.465003460564391702e+01 -1.612062295534751749e-02 7.912755467205450088e-01
1.522843017578125000e+03 1.523843017578125000e+03 1.523343420417335437e+03 5.075482978735203644e-04 1.458124058359506516e-02 1.753560482605942116e-03 1.044728266901518218e+05 1.256404894634308766e+04 -2.831961661281654679e-04 3.435555510283334760e-05 1.523318898045729384e+03 5.075482978735203644e-04 3.062860427614101308e-02 1.753560482605942116e-03 4.973517187762813410e+04 1.083097240222055007e+04 -2.001085352520488489e-04 3.435555510283334760e-05 -2.267957612513713528e+01 1.496185893850744859e-02 6.994298002620797927e-01
1.523067626953125000e+03 1.524067626953125000e+03 1.523308168886278736e+03 3.249577602051082620e-03 4.215196843508125374e-02 9.761756746457702846e-03 3.613848238742026297e+04 8.369124559637644779e+03 -2.225982792859233122e-04 4.945035036382638028e-05 1.523342414492369244e+03 3.249577602051082620e-03 1.644022117633329658e-02 9.761756746457702846e-03 9.265948420969626750e+04 9.595287219463429210e+03 -3.283831899497475712e-04 4.945035036382638028e-05 -1.569796557489353717e+01 1.037921419886268966e-02 6.915522250225841772e-01
1.524558715820312500e+03 1.525558715820312500e+03 1.525299016696597391e+03 2.770307890347861800e-04 1.231232076163143313e-02 7.784717032558139153e-04 1.238839570724836231e+05 7.832816975433122025e+03 -2.731256065541427260e-04 1.156618734764409090e-05 nan nan nan nan nan nan nan nan 1.618121000486079097e+01 -1.053691571253360416e-02 7.122188544440277713e-01
1.524800292968750000e+03 1.525800292968750000e+03 1.525299020871830180e+03 2.793854869059115816e-04 1.225289344982125397e-02 7.737687922622506860e-04 1.244848024769268959e+05 7.861200757392280138e+03 -2.719984397495895734e-04 1.142519925514739882e-05 nan nan nan nan nan nan nan nan 1.591660435948017849e+01 -1.036346573568442189e-02 6.663137072154864393e-01
1.526624877929687500e+03 1.527624877929687500e+03 1.527124786541031426e+03 8.902699304576403895e-05 5.195480156072644108e-03 2.690170614768503331e-04 2.939333306385703036e+05 1.521959058704489325e+04 -2.460619007303406296e-04 7.072881903379052932e-06 nan nan nan nan nan nan nan nan -2.156002719486268759e+01 1.419560624827847194e-02 8.552176575405707748e-01
1.528441406250000000e+03 1.529441406250000000e+03 1.528951336908252870e+03 6.499017144039473057e-05 3.780994798572562005e-03 2.050300895672195066e-04 4.043780587811116711e+05 2.192800414383961106e+04 -1.410849729094713900e-04 4.805065604074068916e-06 1.528941225098670202e+03 6.499017144039473057e-05 6.342343533062132048e-03 2.050300895672195066e-04 2.410688126760118466e+05 1.015384246820098451e+04 -1.983938460828619708e-04 4.805065604074068916e-06 1.326379900028458181e+01 -8.601844829428082623e-03 9.193254632368161872e-01
1.530281005859375000e+03 1.531281005859375000e+03 1.530781127590705864e+03 7.151472210244446933e-05 5.582490090382714182e-03 2.457622998715852007e-04 2.742111679209020222e+05 1.207181135795481896e+04 -2.910001199431519535e-04 6.583973413374352981e-06 nan nan nan nan nan nan nan nan -4.198232617364057617e+00 2.819230529483590479e-03 8.572890573800469038e-01
1.532121459960937500e+03 1.533121459960937500e+03 1.532600674098976015e+03 3.222906195494930131e-04 1.304364880518614662e-02 9.866008080645274209e-04 1.174978487223310512e+05 8.887350022000924582e+03 -1.438446745652275022e-04 7.993805310127488211e-06 1.532621081700436889e+03 3.222906195494930131e-04 5.032410071636375833e-03 9.866008080645274209e-04 3.045501181111177430e+05 2.152635336186287532e+04 -2.965651710973037417e-04 7.993805310127488211e-06 -4.153760194927922811e+00 2.783733765764586764e-03 8.748862399500990650e-01
