status	reason	candidate_idx	candidate_wl	fit_center_wl	min_rr	baseline	depth	depth_fraction	noise	depth_sigma	edge_distance_nm	duplicates_merged	merged_candidate_wavelengths
selected	accepted	984	1520.9832	1520.9852	0.01407019	0.01684102	0.0027708303	0.16452865	0.00028458797	9.7362874	0.49731445	0	
selected	accepted	1854	1521.8521	1521.854	-0.00012694182	0.016388886	0.016515828	1.0077456	0.00030265945	54.569014	0.49731445	0	
selected	accepted	3577	1523.5726	1523.343	0.0061342398	0.014751874	0.008617634	0.58417216	0.0003572926	24.119263	0.26965332	1	1523.343018,1523.572632
selected	accepted	5070	1525.0637	1525.3003	0.0042028174	0.014295496	0.010092678	0.70600408	0.0003657022	27.598079	0.26269531	1	1525.063721,1525.299316
selected	accepted	7134	1527.1249	1527.1249	0.0012287594	0.01615286	0.014924101	0.9239293	0.000365014	40.88638	0.49926758	0	
selected	accepted	8958	1528.9464	1528.9414	0.0013589859	0.014327362	0.012968376	0.90514751	0.0003093579	41.920301	0.4942627	0	
selected	accepted	9588	1529.5756	1529.5786	0.011884348	0.013783755	0.0018994066	0.13780038	0.00034987651	5.4287914	0.49633789	0	
selected	accepted	10795	1530.781	1530.781	-0.0011886036	0.015459367	0.016647971	1.0768857	0.00029042926	57.321946	0.49926758	0	
selected	accepted	12637	1532.6205	1532.6215	-0.0018299603	0.014399192	0.016229152	1.1270877	0.00029391641	55.216897	0.49829102	0	
selected	accepted	14471	1534.452	1534.453	-0.00091494413	0.016434208	0.017349152	1.0556732	0.00036975953	46.920094	0.49829102	0	
selected	accepted	16332	1536.3104	1536.3104	-0.00095561904	0.012906886	0.013862505	1.0740395	0.00036883039	37.58504	0.49926758	0	
selected	accepted	18182	1538.158	1538.162	0.00013641004	0.016221583	0.016085173	0.99159083	0.00036761137	43.755918	0.49536133	0	
selected	accepted	20018	1539.9915	1539.9915	0.0056709944	0.015131843	0.0094608484	0.62522777	0.00035765943	26.452115	0.49926758	0	
selected	accepted	21897	1541.8679	1541.8669	-0.00057100168	0.014205654	0.014776656	1.0401954	0.00036541253	40.438284	0.49829102	0	
selected	accepted	22436	1542.4062	1542.4053	0.012096812	0.013576051	0.0014792391	0.10895945	0.00029412909	5.0292174	0.49829102	0	
selected	accepted	23766	1543.7345	1543.7374	-0.0013941642	0.015537633	0.016931797	1.0897282	0.00035604643	47.555025	0.49633789	0	
selected	accepted	25642	1545.6079	1545.6089	-0.00082397829	0.014708867	0.015532846	1.0560192	0.00037291292	41.652741	0.49841309	0	
selected	accepted	26583	1546.5476	1546.5437	0.011624489	0.013567107	0.001942618	0.14318586	0.00037267128	5.212685	0.49536133	0	
selected	accepted	27499	1547.4624	1547.4624	-0.00056531586	0.014566332	0.015131648	1.0388098	0.0003636768	41.607406	0.49926758	0	
selected	accepted	29392	1549.3529	1549.3499	-0.0013187407	0.01292539	0.014244131	1.1020271	0.00037225794	38.264143	0.49633789	0	
selected	accepted	31271	1551.2294	1551.2313	-0.00094006508	0.015708305	0.01664837	1.0598451	0.00035434595	46.98338	0.49731445	0	
selected	accepted	33156	1553.1118	1553.1128	-0.0012085021	0.011894968	0.013103471	1.1015978	0.00038096501	34.39547	0.49829102	0	
selected	accepted	35047	1555.0002	1555.0002	-0.0010206211	0.013743876	0.014764497	1.0742601	0.00038124331	38.72723	0.49926758	0	
selected	accepted	36931	1556.8817	1556.8817	-0.0014245736	0.012467427	0.013892001	1.1142636	0.00038173116	36.392106	0.49926758	0	
selected	accepted	38848	1558.7961	1558.7961	-0.0017854945	0.013148134	0.014933628	1.1357983	0.00037792948	39.514325	0.49926758	0	
selected	accepted	40752	1560.6975	1560.6965	-0.00097185569	0.010829521	0.011801377	1.0897413	0.00031189297	37.837906	0.49829102	0	
selected	accepted	42659	1562.6019	1562.6	-0.0010689059	0.014480303	0.015549209	1.0738179	0.00032187814	48.307751	0.49731445	0	
selected	accepted	44569	1564.5094	1564.5084	-0.00043302964	0.01056029	0.01099332	1.0410055	0.00041245824	26.653171	0.49829102	0	
selected	accepted	46457	1566.3949	1566.3969	0.0044470021	0.012076735	0.0076297325	0.63177115	0.00040950792	18.631465	0.49731445	0	
selected	accepted	48417	1568.3522	1568.3542	-0.0016368382	0.011145667	0.012782506	1.1468587	0.00034366401	37.194775	0.49731445	0	
selected	accepted	50339	1570.2716	1570.2676	-0.0012013113	0.012069765	0.013271077	1.0995306	0.00041727557	31.804106	0.49523926	0	
selected	accepted	52275	1572.2051	1572.204	-0.001275351	0.01020708	0.01148243	1.1249477	0.00042819097	26.816143	0.49829102	0	
selected	accepted	54205	1574.1324	1574.1294	-0.0018330194	0.012532628	0.014365647	1.1462598	0.00044896955	31.99693	0.49633789	0	
selected	accepted	56172	1576.0968	1576.0837	0.0036617895	0.011003607	0.007341818	0.66721918	0.00045061317	16.29295	0.48632812	0	
selected	accepted	58095	1578.0172	1578.0172	-0.0016818443	0.011692497	0.013374341	1.1438396	0.00045328358	29.505462	0.49926758	0	
selected	accepted	60040	1579.9596	1579.9596	-0.00073289739	0.011680771	0.012413668	1.0627439	0.00037191848	33.377389	0.49926758	0	
selected	accepted	61996	1581.913	1581.9149	-0.0014299693	0.013504255	0.014934224	1.1058903	0.00037800398	39.508113	0.49731445	0	
selected	accepted	63949	1583.8633	1583.8752	-0.0011453122	0.010887058	0.01203237	1.1051994	0.00048735288	24.689235	0.48742676	0	
selected	accepted	65918	1585.8296	1585.8286	0.0011697196	0.013161411	0.011991691	0.91112506	0.00039502346	30.356909	0.49829102	0	
selected	accepted	67896	1587.8049	1587.8059	-0.0023898028	0.012151389	0.014541191	1.1966691	0.00049992754	29.086598	0.49841309	0	
selected	accepted	69868	1589.7743	1589.7762	-0.0015704288	0.012121224	0.013691653	1.1295602	0.00052977352	25.844352	0.49743652	0	
selected	accepted	71842	1591.7456	1591.7466	-0.001583924	0.011762281	0.013346205	1.1346613	0.00053089912	25.138871	0.49841309	0	
selected	accepted	73819	1593.72	1593.719	-0.0028012035	0.01325487	0.016056074	1.2113339	0.00052701384	30.466133	0.49829102	0	
