structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,0,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1521.94103259,0.000239120843952,196.980337333,3.09487053021e-05,0.00768451927687,0.000656954100768,198052.861572,16931.6563459,-0.000154549185033,16.2801673359,-0.0106315617489,0.607016176896,0,0.000338167940563,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,58,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1521.94103259,0.000239120843952,196.980337333,3.09487053021e-05,0.00768451927687,0.000656954100768,198052.861572,16931.6563459,-0.000154549185033,16.2801673359,-0.0106315617489,0.607016176896,1.76079964572,0.000255802277282,229.135952722,19.5889964871
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,2,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1525.46263188,0.000300337953337,196.525599339,3.86925874487e-05,0.0177243187247,0.000511855529414,86066.0799195,2485.47769801,-0.00138770717169,20.0520044473,-0.0130813797007,0.685721892708,1.76079964572,0.000286263618303,99.3437137452,2.86896414766
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,60,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1525.46263188,0.000300337953337,196.525599339,3.86925874487e-05,0.0177243187247,0.000511855529414,86066.0799195,2485.47769801,-0.00138770717169,20.0520044473,-0.0130813797007,0.685721892708,0.929396078907,0.000299487967549,52.43620888,1.51438454251
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,3,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1527.32142404,0.000296923411309,196.286422282,3.81596389472e-05,0.0252675182681,0.000876761477594,60446.0401625,2097.42638458,-0.000887206895888,-14.1210446382,0.00931282590916,0.860075310803,0.929396078907,0.00029778071746,36.7822462438,1.27636719233
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,61,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1527.32142404,0.000296923411309,196.286422282,3.81596389472e-05,0.0252675182681,0.000876761477594,60446.0401625,2097.42638458,-0.000887206895888,-14.1210446382,0.00931282590916,0.860075310803,0.567076782944,0.000379908658343,22.44291572,0.778895294614
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,4,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1528.45557761,0.000559313702841,196.140772681,7.17745569145e-05,0.0193297148115,0.00159597793771,79072.8467809,6528.73154968,-0.000178631971039,29.7853325541,-0.0194188826425,0.841305343749,0.567076782944,0.000506620905298,29.337048605,2.42238561748
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,62,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1528.45557761,0.000559313702841,196.140772681,7.17745569145e-05,0.0193297148115,0.00159597793771,79072.8467809,6528.73154968,-0.000178631971039,29.7853325541,-0.0194188826425,0.841305343749,0.339128633267,0.000487667998078,17.5444199035,1.44879289515
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,5,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1529.13383487,0.000113070114712,196.053773164,1.449698e-05,0.00463821556124,0.000188487854053,329681.493817,13397.6001051,-0.000358333565215,1.05319874602,-0.000626202449276,0.502620996386,0.339128633267,0.000296304898166,73.1161863414,2.97198304242
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,63,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1529.13383487,0.000113070114712,196.053773164,1.449698e-05,0.00463821556124,0.000188487854053,329681.493817,13397.6001051,-0.000358333565215,1.05319874602,-0.000626202449276,0.502620996386,0.919200231739,0.000141804747844,198.179713643,8.05368737312
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,6,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1530.97223534,0.000205133599202,195.818350641,2.62375254949e-05,0.00950966446353,0.000585657219816,160991.193875,9914.71942903,-0.000315332956449,-36.6733530469,0.0240190065638,0.859717958649,0.919200231739,0.000186429766538,96.6595861783,5.95285897914
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,64,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1530.97223534,0.000205133599202,195.818350641,2.62375254949e-05,0.00950966446353,0.000585657219816,160991.193875,9914.71942903,-0.000315332956449,-36.6733530469,0.0240190065638,0.859717958649,1.49219711256,0.00153888038602,156.913750037,9.66496292
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,8,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1533.95662956,0.00305718366954,195.437375622,0.000389507722485,0.391665606162,0.0157480077576,3916.49561623,157.473626616,-0.00238686255918,-9.17244225486,0.00604684838464,0.772300843478,1.49219711256,0.00264958467318,3.80987528414,0.153335959512
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,66,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1533.95662956,0.00305718366954,195.437375622,0.000389507722485,0.391665606162,0.0157480077576,3916.49561623,157.473626616,-0.00238686255918,-9.17244225486,0.00604684838464,0.772300843478,0.998714635043,0.00266841808745,2.54991661083,0.102752623554
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,10,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1535.95405883,0.000665360345773,195.183219365,8.45514705205e-05,0.0179016472963,0.00190039549914,85799.5933787,9108.27693044,-0.000140015728951,-1.22020305619,0.000856093910835,0.276402521944,0.998714635043,0.00163359153084,55.7889795566,5.92312587087
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,68,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1535.95405883,0.000665360345773,195.183219365,8.45514705205e-05,0.0179016472963,0.00190039549914,85799.5933787,9108.27693044,-0.000140015728951,-1.22020305619,0.000856093910835,0.276402521944,0.272334371601,0.0005788609115,15.2128107036,1.61527881123
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,11,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1536.49872757,0.000110483710421,195.114029462,1.40298989796e-05,0.00863121072764,0.000184419458262,178016.593043,3803.60585402,-0.000614081789188,7.89075952872,-0.00507424672081,0.864731355806,0.272334371601,0.000346166268047,31.5522793029,0.675356232104
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,69,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1536.49872757,0.000110483710421,195.114029462,1.40298989796e-05,0.00863121072764,0.000184419458262,178016.593043,3803.60585402,-0.000614081789188,7.89075952872,-0.00507424672081,0.864731355806,0.378867368347,0.00257137342865,43.8950432682,0.984065930006
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,12,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1537.25646231,0.00513918527468,195.017855088,0.000651962059513,0.279207832481,0.02232751066,5505.77843269,440.282515224,-0.00136754487029,-9.88755024686,0.00649465115178,0.51624325221,0.378867368347,0.00445100782163,1.35693674845,0.109675391848
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,70,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1537.25646231,0.00513918527468,195.017855088,0.000651962059513,0.279207832481,0.02232751066,5505.77843269,440.282515224,-0.00136754487029,-9.88755024686,0.00649465115178,0.51624325221,1.4722848327,0.00445109823608,5.27307855091,0.42197536489
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,15,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1540.20103198,0.000124202119036,194.645018264,1.56962131737e-05,0.00758443324337,0.000334043366741,203073.978312,8944.04541991,-0.000449340259421,18.6963228934,-0.012076615595,0.872844775605,1.4722848327,0.00257184290863,194.119294805,8.55637365057
