structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,1,66,1522.24764372,1522.24764372,1522.24764372,7.40003432731e-05,196.940661552,0,0.000148000686546,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,66,3,1522.24764372,1523.96200669,1523.1048252,7.32328653753e-05,196.829826181,1.71436297013,0.000146465730751,13.531838642,0.00115608650274
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,3,68,1523.96200669,1523.96200669,1523.96200669,7.24572586951e-05,196.719115492,0,0.00014491451739,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,68,4,1523.96200669,1524.77584683,1524.36892676,0.000817926770335,196.666602643,0.813840139708,0.00163585354067,28.5522980681,0.0573913502992
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,4,69,1524.77584683,1524.77584683,1524.77584683,0.00115445153598,196.614117822,0,0.00230890307196,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,69,10,1524.77584683,1533.17632656,1528.97608669,0.000823918202023,196.074000509,8.40047972803,0.00164783640405,2.78289805983,0.000545900959561
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,10,75,1533.17632656,1533.17632656,1533.17632656,0.000157873551704,195.536842571,0,0.000315747103407,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,75,13,1533.17632656,1537.63041438,1535.40337047,0.00472058052892,195.253223854,4.45408782443,0.00944116105784,5.29280877023,0.0112190132472
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,13,78,1537.63041438,1537.63041438,1537.63041438,0.00667404202876,194.970426701,0,0.0133480840575,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,78,15,1537.63041438,1539.79132994,1538.71087216,0.00474070032432,194.833521634,2.16091555688,0.00948140064864,10.9566111483,0.0480741240258
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,15,80,1539.79132994,1539.79132994,1539.79132994,0.000636900406937,194.696808698,0,0.00127380081387,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,80,17,1539.79132994,1541.46037976,1540.62585485,0.000948439062085,194.591345496,1.66904981638,0.00189687812417,14.220833922,0.0161620128646
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,17,82,1541.46037976,1541.46037976,1541.46037976,0.00118043686007,194.485996486,0,0.00236087372015,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,82,19,1541.46037976,1543.07990388,1542.27014182,0.00121159684044,194.38388248,1.61952412484,0.00242319368087,14.6870130174,0.0219752803993
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,19,84,1543.07990388,1543.07990388,1543.07990388,0.00124197529238,194.281875648,0,0.00248395058476,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,84,21,1543.07990388,1544.98786621,1544.03388504,0.00115916231437,194.161838612,1.90796232927,0.00231832462873,12.4952185984,0.0151826871474
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,21,86,1544.98786621,1544.98786621,1544.98786621,0.00106995883809,194.041949815,0,0.00213991767618,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,86,23,1544.98786621,1546.70566663,1545.84676642,0.00110970692584,193.934136625,1.71780041763,0.00221941385168,13.9110585881,0.0179732260324
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,23,88,1546.70566663,1546.70566663,1546.70566663,0.00114807970425,193.826443174,0,0.00229615940851,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,88,24,1546.70566663,1548.05055834,1547.37811248,0.00083080179617,193.742211798,1.3448917093,0.00166160359234,17.8035079437,0.021996108478
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,24,89,1548.05055834,1548.05055834,1548.05055834,0.000249752360789,193.658053599,0,0.000499504721579,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,89,25,1548.05055834,1549.92251,1548.98653417,0.000269576789013,193.54103563,1.87195166291,0.000539153578026,12.817421147,0.00369163566334
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,25,90,1549.92251,1549.92251,1549.92251,0.000288040012202,193.424158992,0,0.000576080024403,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,90,29,1549.92251,1557.51197811,1553.71724405,0.000221249968088,192.951747911,7.58946810737,0.000442499936175,3.18077267117,0.0001854554859
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,29,94,1557.51197811,1557.51197811,1557.51197811,0.000122213125844,192.481638802,0,0.000244426251688,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,94,30,1557.51197811,1559.40691341,1558.45944576,0.000135995947176,192.364619314,1.89493530009,0.000271991894352,12.8173022264,0.00183974877133
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,30,95,1559.40691341,1559.40691341,1559.40691341,0.000148505040885,192.247742025,0,0.00029701008177,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,95,31,1559.40691341,1559.73963653,1559.57327497,0.00849141787574,192.227234726,0.332723125043,0.0169828357515,73.1018861308,3.73126260273
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,31,96,1559.73963653,1559.73963653,1559.73963653,0.0120077600465,192.206731802,0,0.024015520093,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,96,34,1559.73963653,1565.12900063,1562.43431858,0.008490958751,191.875238808,5.38936409596,0.016981917502,4.52966427283,0.014273083286
