StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.520037719726562500e+03 1.521037719726562500e+03 1.520538615615941808e+03 4.474496620126844088e-04 1.705543842201008575e-02 1.540325429864779130e-03 8.915271352120053780e+04 8.051636573684702853e+03 -3.687016605988783125e-04 2.908565629584002757e-05 1.520578595415690643e+03 4.474496620126844088e-04 4.795387554182146961e-02 1.540325429864779130e-03 3.170919093055504345e+04 7.556911041055041096e+03 -2.083658070564632864e-04 2.908565629584002757e-05 6.542144291109347698e+00 -4.228466738137487933e-03 5.940325647514917984e-01
1.521750488281250000e+03 1.522750488281250000e+03 1.522247643719673533e+03 1.046522890770450843e-04 5.048115649065867613e-03 1.869449877158046579e-04 3.015476961193151074e+05 1.116710358196394736e+04 -5.263121012249293972e-04 1.682355221455296242e-05 nan nan nan nan nan nan nan nan -1.928070420896754555e+01 1.274495901662099639e-02 6.318355692552092284e-01
1.522596313476562500e+03 1.523596313476562500e+03 1.523100686558472717e+03 3.399812315697206978e-03 1.080200678739555442e-01 8.805972725172021842e-03 1.410016413186964746e+04 1.149468457630693820e+03 -8.594793439365465762e-04 1.190142270234319368e-04 1.523014516488997060e+03 3.399812315697206978e-03 1.287195745908016054e-01 8.805972725172021842e-03 1.183203503686713339e+04 2.973364382058519368e+03 -3.049483749890352473e-04 1.190142270234319368e-04 2.290766025138483286e+01 -1.496355171782979415e-02 8.558147812853417191e-01
1.523462158203125000e+03 1.524462158203125000e+03 1.523962006689806685e+03 1.024700379389870076e-04 7.669832970448011572e-03 2.809522184006675084e-04 1.986955925326739962e+05 7.278381122988537754e+03 -2.179666211366256337e-04 5.086852109661424496e-06 nan nan nan nan nan nan nan nan 1.399968024344170736e+01 -9.116183774594235900e-03 8.593998601314386532e-01
1.524283081054687500e+03 1.525283081054687500e+03 1.524775846829514194e+03 1.632641019282610011e-03 2.053944904882845646e-01 6.313645124679743634e-03 7.423645313974405326e+03 2.281962966043366237e+02 -1.958424326789268664e-03 5.695397373571197758e-05 nan nan nan nan nan nan nan nan -1.826505110524982811e+01 1.205016094937358048e-02 8.772405281332972260e-01
1.525364624023437500e+03 1.526364624023437500e+03 1.525869536127368974e+03 3.436122113979313080e-04 6.207635108882872746e-03 8.530917668501806269e-04 2.458052880627458217e+05 3.378008916709404730e+04 -1.059555291113289672e-04 1.562048867498172557e-05 1.525863869508088783e+03 3.436122113979313080e-04 3.846996264530459265e-03 8.530917668501806269e-04 3.966377309946066234e+05 4.274257710803945520e+04 -1.442344521661896107e-04 1.562048867498172557e-05 -4.571131791311641379e+00 3.074929885531723587e-03 7.191433017708027675e-01
1.525897827148437500e+03 1.526897827148437500e+03 1.526392341519308047e+03 1.059745613123828142e-03 8.360233139554054671e-02 3.534100274144701386e-03 1.825777243337412074e+04 7.718062103493376753e+02 -5.800029533102226808e-04 2.052782581661762238e-05 1.526538248761899922e+03 1.059745613123828142e-03 9.148485743903238265e-02 3.534100274144701386e-03 1.668623957554090521e+04 1.030661102564620705e+03 -4.327894076004785897e-04 2.052782581661762238e-05 5.490762708436809802e+00 -3.517167454908286684e-03 8.408375761986749408e-01
1.527170166015625000e+03 1.528170166015625000e+03 1.527686823079006672e+03 4.718984406345801477e-04 4.717511211025845856e-03 1.363923048165726140e-03 3.238332151725408621e+05 9.362639878912873974e+04 -3.105817569294400522e-05 6.417945169371857468e-06 1.527669886571413372e+03 4.718984406345801477e-04 4.057721933890043667e-03 1.363923048165726140e-03 3.764846166052763001e+05 4.204960674159252085e+04 -2.298230518924400097e-04 6.417945169371857468e-06 1.617709133927814591e+01 -1.051519758726438686e-02 7.146216017840956169e-01
1.528997680664062500e+03 1.529997680664062500e+03 1.529512620251916132e+03 2.490813001314325743e-04 5.483629480173695357e-03 7.347021724174499467e-04 2.789234075318065588e+05 3.737043762580332259e+04 -9.100964927036573823e-05 8.789294775712191298e-06 1.529496001522130427e+03 2.490813001314325743e-04 8.059323836823032924e-03 7.347021724174499467e-04 1.897796927496406715e+05 1.245578131353213575e+04 -2.911416494311756895e-04 8.789294775712191298e-06 1.494505930001082916e+01 -9.692993175663203176e-03 7.354276379636015548e-01
1.530817260742187500e+03 1.531817260742187500e+03 1.531288894105101463e+03 1.966343516452369322e-03 4.164920826902410167e-02 5.455862150067360139e-03 3.676633861114646425e+04 4.816227812520961379e+03 -5.550837972327787601e-04 6.275655464238980312e-05 1.531320876225082429e+03 1.966343516452369322e-03 8.327349453499562071e-03 5.455862150067360139e-03 1.838905506219083909e+05 1.187060564451259961e+04 -7.413533162987461346e-04 6.275655464238980312e-05 -1.031048776559362956e+01 6.807508233375788621e-03 6.074165433320375396e-01
