structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,1,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1522.24764372,0.000104652289077,196.940661552,1.35393811439e-05,0.00504811564907,0.000186944987716,301547.696119,11167.103582,-0.000526312101225,-19.280704209,0.0127449590166,0.631835569255,0,0.000148000686546,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,66,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1522.24764372,0.000104652289077,196.940661552,1.35393811439e-05,0.00504811564907,0.000186944987716,301547.696119,11167.103582,-0.000526312101225,-19.280704209,0.0127449590166,0.631835569255,0.857181485067,0.00010411101467,169.802267748,6.28825799429
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,3,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1523.96200669,0.000102470037939,196.719115492,1.32272426342e-05,0.00766983297045,0.000280952218401,198695.592533,7278.38112299,-0.000217966621137,13.9996802434,-0.00911618377459,0.859399860131,0.857181485067,0.000103019934521,111.76012416,4.09388625993
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,68,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1523.96200669,0.000102470037939,196.719115492,1.32272426342e-05,0.00766983297045,0.000280952218401,198695.592533,7278.38112299,-0.000217966621137,13.9996802434,-0.00911618377459,0.859399860131,0.406920069854,0.00082112986547,53.0546194971,1.94638046573
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,4,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1524.77584683,0.00163264101928,196.614117822,0.000210522926628,0.205394490488,0.00631364512468,7423.64531397,228.196296604,-0.00195842432679,-18.2650511052,0.0120501609494,0.877240528133,0.406920069854,0.00141483658086,1.9811635107,0.0612875543195
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,69,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1524.77584683,0.00163264101928,196.614117822,0.000210522926628,0.205394490488,0.00631364512468,7423.64531397,228.196296604,-0.00195842432679,-18.2650511052,0.0120501609494,0.877240528133,4.20023986401,0.00141830869438,20.4496228406,0.628641260831
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,10,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1533.17632656,0.000223266917959,195.536842571,2.84748123436e-05,0.00835966352286,0.000457625684042,183401.679071,10039.796292,-0.00094618323797,-7.99341426633,0.005293480026,0.186694675191,4.20023986401,0.000838907183157,502.441258853,27.5048815697
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,75,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1533.17632656,0.000223266917959,195.536842571,2.84748123436e-05,0.00835966352286,0.000457625684042,183401.679071,10039.796292,-0.00094618323797,-7.99341426633,0.005293480026,0.186694675191,2.22704391221,0.00472321972687,266.403534798,14.5944343215
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,13,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1537.63041438,0.00943852075292,194.970426701,0.00119679761886,0.722547321174,0.0425579804734,2128.06880508,125.343086176,-0.0306645228551,127.092962862,-0.0826770740264,0.694690656963,2.22704391221,0.00817476100762,3.08221184544,0.181894235576
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,78,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1537.63041438,0.00943852075292,194.970426701,0.00119679761886,0.722547321174,0.0425579804734,2128.06880508,125.343086176,-0.0306645228551,127.092962862,-0.0826770740264,0.694690656963,1.08045777844,0.00818639582275,1.49534535217,0.0888014638155
