structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,0,58,1521.85169948,1521.85169948,1521.85169948,7.04908966962e-05,196.991900133,0,0.000140981793392,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,58,5,1521.85169948,1530.77964121,1526.31567034,6.25552096132e-05,196.415763675,8.92794173164,0.000125110419226,2.6093802979,3.65667986697e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,5,63,1530.77964121,1530.77964121,1530.77964121,5.34541109968e-05,195.84298741,0,0.000106908221994,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,63,8,1530.77964121,1534.45634134,1532.61799127,5.01341533692e-05,195.608076968,3.67670012934,0.000100268306738,6.3886578305,0.00017422735707
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,8,66,1534.45634134,1534.45634134,1534.45634134,4.65781567435e-05,195.373729394,0,9.31563134871e-05,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,66,9,1534.45634134,1535.74856366,1535.1024525,0.000273683817261,195.291498305,1.29222232199,0.000547367634521,18.236332089,0.00772466264094
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,9,67,1535.74856366,1535.74856366,1535.74856366,0.000384234484365,195.209336407,0,0.000768468968729,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,67,10,1535.74856366,1536.30995356,1536.02925861,0.000276103152225,195.173663731,0.561389898503,0.00055220630445,42.0275799332,0.0413400672364
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,10,68,1536.30995356,1536.30995356,1536.30995356,6.94964917268e-05,195.138004089,0,0.000138992983454,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,68,13,1536.30995356,1541.87028891,1539.09012124,6.96473776335e-05,194.785512468,5.5603353559,0.000139294755267,4.26017182358,0.000106724401712
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,13,71,1541.87028891,1541.87028891,1541.87028891,6.9797937363e-05,194.434292012,0,0.000139595874726,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,71,14,1541.87028891,1543.73682228,1542.8035556,6.29035725688e-05,194.316675582,1.86653336299,0.000125807145138,12.7522114437,0.000859518785922
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,14,72,1543.73682228,1543.73682228,1543.73682228,5.51540281729e-05,194.199201362,0,0.000110308056346,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,72,19,1543.73682228,1551.23190146,1547.48436187,5.68625308248e-05,193.728909569,7.49507917956,0.00011372506165,3.19504009611,4.84798605946e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,19,77,1551.23190146,1551.23190146,1551.23190146,5.85211756539e-05,193.260890083,0,0.000117042351308,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,77,20,1551.23190146,1553.11376617,1552.17283381,6.43235393861e-05,193.143734686,1.88186470977,0.000128647078772,12.8024107871,0.000875192542237
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,20,78,1553.11376617,1553.11376617,1553.11376617,6.964414863e-05,193.026721243,0,0.00013928829726,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,78,21,1553.11376617,1554.99894275,1554.05635446,6.52699681257e-05,192.909643939,1.88517658557,0.000130539936251,12.8109545351,0.000887101203985
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,21,79,1554.99894275,1554.99894275,1554.99894275,6.05807728562e-05,192.792708572,0,0.000121161545712,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,79,23,1554.99894275,1558.80075605,1556.8998494,7.78612195451e-05,192.557317104,3.80181329888,0.00015572243909,6.37573954981,0.000261151349575
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,23,81,1558.80075605,1558.80075605,1558.80075605,9.19494914518e-05,192.32249974,0,0.000183898982904,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,81,24,1558.80075605,1559.97277855,1559.3867673,0.00358202400115,192.250225721,1.17202250253,0.00716404800229,20.7477850022,0.126821941864
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,24,82,1559.97277855,1559.97277855,1559.97277855,0.00506491235666,192.178006002,0,0.0101298247133,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,82,25,1559.97277855,1560.70143931,1560.33710893,0.00358221248675,192.133133465,0.728660753817,0.0071644249735,33.4126941893,0.328524303704
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,25,83,1560.70143931,1560.70143931,1560.70143931,0.000105619220978,192.088281877,0,0.000211238441957,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,83,27,1560.70143931,1563.36054298,1562.03099115,0.000742697307717,191.92478235,2.65910367653,0.00148539461543,9.17580175167,0.00512567689015
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,27,85,1563.36054298,1563.36054298,1563.36054298,0.00104500868989,191.761560918,0,0.00209001737978,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,85,28,1563.36054298,1564.51113205,1563.93583752,0.000742267463089,191.691021337,1.15058907049,0.00148453492618,21.2577658401,0.027427606599
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,28,86,1564.51113205,1564.51113205,1564.51113205,9.93922108651e-05,191.620533634,0,0.00019878442173,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,86,30,1564.51113205,1568.35483638,1566.43298422,9.4162661357e-05,191.385434947,3.84370432786,0.000188325322714,6.38371759311,0.00031277621602
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,30,88,1568.35483638,1568.35483638,1568.35483638,8.86250642144e-05,191.150912437,0,0.000177250128429,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,88,32,1568.35483638,1570.85875589,1569.60679614,0.000488528435741,190.998445431,2.50391950702,0.000977056871482,9.83923599609,0.00383938275393
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,32,90,1570.85875589,1570.85875589,1570.85875589,0.000685175643939,190.846221454,0,0.00137035128788,,
