StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.521353027343750000e+03 1.522353027343750000e+03 1.521851699476874046e+03 9.968918213167522052e-05 4.150894993585593599e-03 3.039168873210382552e-04 3.666321845839516027e+05 2.684378007699506634e+04 -3.106251094085435058e-04 1.333800026492050303e-05 nan nan nan nan nan nan nan nan 9.592047370459084732e+00 -6.222093656461465637e-03 7.049304120973306498e-01
1.522843994140625000e+03 1.523843994140625000e+03 1.523347607969047658e+03 4.901545762574601763e-04 1.613401190122686416e-02 1.582540809173734863e-03 9.441840115744610375e+04 9.261241028217955318e+03 -3.407501258486809927e-04 4.210755003239535077e-05 1.523328547561772439e+03 4.901545762574601763e-04 2.699840155569792691e-02 1.582540809173734863e-03 5.642291616483787220e+04 1.323130500167311948e+04 -1.539773545815427229e-04 4.210755003239535077e-05 -5.985982368467051451e+00 4.010755456743215694e-03 7.042056749372180846e-01
1.524799316406250000e+03 1.525799316406250000e+03 1.525298181731690420e+03 3.529192984854766105e-04 1.549475447118318569e-02 9.896463374234449294e-04 9.843964837057646946e+04 6.287317275598817105e+03 -3.965300836719626147e-04 1.670248272163488853e-05 1.525186560886124198e+03 3.529192984854766105e-04 4.995617593812444468e-02 9.896463374234449294e-04 3.053049061992285351e+04 4.519565842573610098e+03 -2.595035649524696925e-04 1.670248272163488853e-05 5.271913629286548719e+00 -3.381896577061433481e-03 5.878822255323021828e-01
1.526625854492187500e+03 1.527625854492187500e+03 1.527334202213601429e+03 9.596075137573959087e-04 3.100036178095064003e-04 1.525877860147455481e-02 4.926827025457911193e+06 2.425047917841375470e+08 -2.640310429044401445e-06 1.064523422120858205e-04 1.527125562391647691e+03 9.596075137573959087e-04 5.417306254656759426e-03 1.525877860147455481e-02 2.818975872148484341e+05 1.376413736440289722e+04 -2.804426928589520652e-04 1.064523422120858205e-04 -9.425088900532038849e+00 6.255496710720403683e-03 8.031728980222740955e-01
1.528439453125000000e+03 1.529439453125000000e+03 1.528949890416487733e+03 1.061293580503807666e-04 4.150552845926474763e-03 3.364195850402721061e-04 3.683725872607700294e+05 2.985813156629314108e+04 -1.727074418140210762e-04 8.120431585491278171e-06 1.528939309105449411e+03 1.061293580503807666e-04 4.501223739935902857e-03 3.364195850402721061e-04 3.396719197804687428e+05 2.665458691038399775e+04 -2.012595437273854277e-04 8.120431585491278171e-06 -1.173190106527414039e-01 1.522042758466178678e-04 7.836576187604202826e-01
1.530281005859375000e+03 1.531281005859375000e+03 1.530779641208516978e+03 7.559552873632465831e-05 5.781310769363927175e-03 2.548025221741967764e-04 2.647807222750173532e+05 1.166980958995310175e+04 -3.072008941038298596e-04 7.026672773800375211e-06 nan nan nan nan nan nan nan nan 6.023712776399340996e+00 -3.855716257386737275e-03 8.514266934790711838e-01
1.531519287109375000e+03 1.532519287109375000e+03 1.532021602226827781e+03 1.262062099689602703e-03 9.677940386040421311e-03 3.633600029125573765e-03 1.583003760218067036e+05 5.943415933357954054e+04 -1.966063405835552762e-05 5.288065953253728594e-06 1.531721512835251133e+03 1.262062099689602703e-03 4.118484663938964258e-02 3.633600029125573765e-03 3.719138561439477780e+04 1.015004575444236980e+04 -6.308027663621159069e-05 5.288065953253728594e-06 -1.592742007578192398e+00 1.114463292401542214e-03 1.252736073963408581e-01
1.532122436523437500e+03 1.533122436523437500e+03 1.532603939847203037e+03 4.441441561246439696e-04 1.444933666806512071e-02 1.352969362383027972e-03 1.060674254503636475e+05 9.931665396034526566e+03 -1.463355754529549143e-04 1.053992771495637646e-05 1.532620743199342769e+03 4.441441561246439696e-04 4.350889390365674826e-03 1.352969362383027972e-03 3.522545865204199217e+05 1.920422500293627672e+04 -3.064621263291905651e-04 1.053992771495637646e-05 -1.154942209151987420e+01 7.612455395283063836e-03 8.672177289721759719e-01
1.533957031250000000e+03 1.534957031250000000e+03 1.534456341337860749e+03 6.587146097705449520e-05 4.408146709918733981e-03 2.491947956045437802e-04 3.480955699330953066e+05 1.967802119769943238e+04 -3.081687900717605048e-04 9.385574715517534005e-06 nan nan nan nan nan nan nan nan 1.915931653418732594e+01 -1.240722531916820144e-02 8.931036895629552719e-01
1.535248291015625000e+03 1.536248291015625000e+03 1.535748563659854199e+03 5.433896189199798532e-04 5.505997489001701432e-03 1.539283441643143294e-03 2.789228594323791331e+05 7.797703138767821656e+04 -2.420424250181185162e-05 4.751017625137888284e-06 nan nan nan nan nan nan nan nan 5.445418103408291799e+00 -3.474564621749865866e-03 1.824125565357522794e-01
1.535810424804687500e+03 1.536810424804687500e+03 1.536309953558357165e+03 9.828288113735442416e-05 7.117415720058242398e-03 3.155738042128188254e-04 2.158522157457714784e+05 9.570510919962491243e+03 -3.247324270982609941e-04 7.682161931746400331e-06 nan nan nan nan nan nan nan nan -6.399565845988553825e+00 4.236732610299271187e-03 8.363885027047341936e-01
1.537662963867187500e+03 1.538662963867187500e+03 1.538152328267968414e+03 1.177743051434793330e-04 5.908641120419247557e-03 3.524670462652254544e-04 2.603225169578125933e+05 1.552896964945712898e+04 -2.047921506551338762e-04 7.987448985447318195e-06 1.538162008693549296e+03 1.177743051434793330e-04 3.009162230212446016e-03 3.524670462652254544e-04 5.111595490765399882e+05 3.475579110795424640e+04 -2.015926064906123198e-04 7.987448985447318195e-06 3.678879372634246803e+00 -2.315479546930039947e-03 8.496697302268095831e-01
1.539496459960937500e+03 1.540496459960937500e+03 1.540059705956123707e+03 3.709870728679984502e-04 2.038133340141861163e-02 1.075218327052258503e-03 7.556226453019655310e+04 3.986291282180298822e+03 -2.286779733225018801e-04 8.562924334645515519e-06 1.539996028105241066e+03 3.709870728679984502e-04 1.389130100110851952e-02 1.075218327052258503e-03 1.108604606568060117e+05 4.152013923493149377e+03 -2.937265063639222682e-04 8.562924334645515519e-06 -3.072549212007318786e+00 2.071423052612773267e-03 8.367638372932358903e-01
1.541369995117187500e+03 1.542369995117187500e+03 1.541870288914260527e+03 9.870918964441043855e-05 7.318535051006510792e-03 3.700030293542807126e-04 2.106801809608343174e+05 1.065135367080855394e+04 -3.785430549711364862e-04 9.589533021642331000e-06 nan nan nan nan nan nan nan nan 1.382064893855619125e+01 -8.892675235791435914e-03 8.759623951545038034e-01
1.543238403320312500e+03 1.544238403320312500e+03 1.543736822277250212e+03 7.799957466165496878e-05 5.490668847108384071e-03 1.540895331744570262e-04 2.811564247022922500e+05 7.890343314778790045e+03 -4.276468836903849239e-04 8.581890092903911212e-06 nan nan nan nan nan nan nan nan -1.070277973055219256e+01 7.008351673754241971e-03 8.810855771338588216e-01
1.545109863281250000e+03 1.546109863281250000e+03 1.545594114995718428e+03 8.008805279544968958e-05 4.409273250977611969e-03 2.398262301587076077e-04 3.505326222757987562e+05 1.906593503350015089e+04 -1.615089734896456243e-04 5.177635917667147652e-06 1.545610124620985971e+03 8.008805279544968958e-05 4.506807946968093177e-03 2.398262301587076077e-04 3.429500752657495905e+05 2.464868641561786717e+04 -2.657877494765578772e-04 5.177635917667147652e-06 1.373618070048642892e+01 -8.815028903797053617e-03 9.005954843933039466e-01
