structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,0,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1521.85169948,9.96891821317e-05,196.991900133,1.29039915108e-05,0.00415089499359,0.000303916887321,366632.184584,26843.780077,-0.000310625109409,9.59204737046,-0.00622209365646,0.704930412097,0,0.000140981793392,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,58,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1521.85169948,9.96891821317e-05,196.991900133,1.29039915108e-05,0.00415089499359,0.000303916887321,366632.184584,26843.780077,-0.000310625109409,9.59204737046,-0.00622209365646,0.704930412097,4.46397086582,9.42450039354e-05,1075.42370325,78.7395100424
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,5,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1530.77964121,7.55955287363e-05,195.84298741,9.67144700908e-06,0.00578131076936,0.000254802522174,264780.722275,11669.80959,-0.000307200894104,6.0237127764,-0.00385571625739,0.851426693479,4.46397086582,8.22830251766e-05,772.138195628,34.0308253212
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,63,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1530.77964121,7.55955287363e-05,195.84298741,9.67144700908e-06,0.00578131076936,0.000254802522174,264780.722275,11669.80959,-0.000307200894104,6.0237127764,-0.00385571625739,0.851426693479,1.83835006467,7.32855737271e-05,317.981533602,14.0145605629
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,8,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1534.45634134,6.58714609771e-05,195.373729394,8.3870440918e-06,0.00440814670992,0.000249194795605,348095.569933,19678.0211977,-0.000308168790072,19.1593165342,-0.0124072253192,0.893103689563,1.83835006467,6.84321417148e-05,417.034682747,23.5751897332
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,66,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1534.45634134,6.58714609771e-05,195.373729394,8.3870440918e-06,0.00440814670992,0.000249194795605,348095.569933,19678.0211977,-0.000308168790072,19.1593165342,-0.0124072253192,0.893103689563,0.646111160997,0.000277619085288,146.572063843,8.28603332474
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,9,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1535.74856366,0.00054338961892,195.209336407,6.90703735168e-05,0.005505997489,0.00153928344164,278922.859432,77977.0313877,-2.42042425018e-05,5.44541810341,-0.00347456462175,0.182412556536,0.646111160997,0.000471740363765,117.346795433,32.8061528374
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,67,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1535.74856366,0.00054338961892,195.209336407,6.90703735168e-05,0.005505997489,0.00153928344164,278922.859432,77977.0313877,-2.42042425018e-05,5.44541810341,-0.00347456462175,0.182412556536,0.280694949251,0.00047314806313,50.9798542066,14.2524350946
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,10,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1536.30995356,9.82828811374e-05,195.138004089,1.24836301535e-05,0.00711741572006,0.000315573804213,215852.215746,9570.51091996,-0.000324732427098,-6.39956584599,0.0042367326103,0.836388502705,0.280694949251,0.000284715143663,39.437762285,1.74905913029
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,68,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1536.30995356,9.82828811374e-05,195.138004089,1.24836301535e-05,0.00711741572006,0.000315573804213,215852.215746,9570.51091996,-0.000324732427098,-6.39956584599,0.0042367326103,0.836388502705,2.78016767795,9.83896314332e-05,390.614766272,17.3191832385
