StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.520485229492187500e+03 1.521485229492187500e+03 1.520944316953684165e+03 8.963979675153558669e-04 3.221940945970621500e-02 2.699504660311475342e-03 4.720584090331594052e+04 3.955143488118362711e+03 -1.670410122558777248e-04 1.054629988961445216e-05 nan nan nan nan nan nan nan nan 4.545989498008123242e+00 -3.074023139901683934e-03 4.142923751394894660e-01
1.521354003906250000e+03 1.522354003906250000e+03 1.521845232292128458e+03 6.956769919759697891e-04 9.848384288674296230e-03 1.842957099157122936e-03 1.545274014177391655e+05 2.891716682760661206e+04 -9.887947134276928510e-05 1.686015629326033781e-05 1.521853555374114421e+03 6.956769919759697891e-04 2.941214986198072145e-03 1.842957099157122936e-03 5.174234330083163804e+05 4.306285361927784834e+04 -2.409172643446405755e-04 1.686015629326033781e-05 2.642420549978536926e+01 -1.728090151545598821e-02 8.146903491597767832e-01
1.522843017578125000e+03 1.523843017578125000e+03 1.523343420850282200e+03 5.076990987945866800e-04 1.458473136558740071e-02 1.753498885362735852e-03 1.044478216749746352e+05 1.255759426042477389e+04 -3.031229993882287102e-04 3.675669427316003823e-05 1.523318904327041082e+03 5.076990987945866800e-04 3.059734545191587426e-02 1.753498885362735852e-03 4.978598247096162231e+04 1.084329471820379695e+04 -2.140020818398922868e-04 3.675669427316003823e-05 -2.417867526792647581e+01 1.595112636019126867e-02 6.986888488734289693e-01
1.524800292968750000e+03 1.525800292968750000e+03 1.525299020734802298e+03 2.794428182058224025e-04 1.225381969096166028e-02 7.739273357179489833e-04 1.244753929144112626e+05 7.861622876020975127e+03 -2.907969289261303110e-04 1.221642777121458022e-05 nan nan nan nan nan nan nan nan 1.712239878848884445e+01 -1.114905027979121686e-02 6.673914322587095604e-01
1.526624877929687500e+03 1.527624877929687500e+03 1.526845427062588442e+03 1.116553655597422650e-03 3.326632532932820580e-13 1.380425992258261431e+04 4.589762806523429000e+15 1.904577020065207744e+32 -2.420538110931450508e-13 9.512229042615876097e+03 1.527124786741298522e+03 1.116553655597422650e-03 5.196257366272105660e-03 1.380425992258261431e+04 2.938893667302870890e+05 1.524414370830388907e+04 -2.627219334929630987e-04 9.512229042615876097e+03 -2.289534727115771418e+01 1.507526583796706295e-02 8.544392608789961319e-01
1.528441406250000000e+03 1.529441406250000000e+03 1.528941225129433406e+03 8.998770983478892032e-05 6.343018168035395241e-03 2.671820456989776739e-04 2.410431729226763418e+05 1.015327503992679522e+04 -2.115883595145831911e-04 6.033085453985823058e-06 1.528951337026336660e+03 8.998770983478892032e-05 3.780719139488391417e-03 2.671820456989776739e-04 4.044075427494556061e+05 2.193294324273035090e+04 -1.504508775714496159e-04 6.033085453985823058e-06 1.428207858292365096e+01 -9.262977829519741454e-03 9.196102093006017775e-01
1.529078613281250000e+03 1.530078613281250000e+03 1.529573829960270587e+03 7.538346386256685079e-04 1.674135228161184596e-02 2.168893246922579902e-03 9.136501067720225547e+04 1.183661578413117604e+04 -6.454889632970875750e-05 6.018576202467666509e-06 nan nan nan nan nan nan nan nan -2.229174599852084437e+00 1.533896594559328074e-03 2.375593701503035948e-01
1.530281005859375000e+03 1.531281005859375000e+03 1.530781127582431736e+03 7.150460146126065054e-05 5.582386624897199903e-03 2.457267656171957114e-04 2.742162502244496718e+05 1.207051334403202782e+04 -3.098900125015993678e-04 7.010237489839051530e-06 nan nan nan nan nan nan nan nan -4.322949364222381519e+00 2.905682010619027068e-03 8.570861891087380169e-01
1.532121459960937500e+03 1.533121459960937500e+03 1.532600607169824571e+03 3.210433331894513667e-04 1.298419218908306375e-02 9.820642666999318277e-04 1.180358843161929399e+05 8.927688568347562978e+03 -1.523584314478558023e-04 8.460180165254363842e-06 1.532621076709024237e+03 3.210433331894513667e-04 5.043753857911214937e-03 9.820642666999318277e-04 3.038651607284684433e+05 2.142778949785836085e+04 -3.162363157406637704e-04 8.460180165254363842e-06 -4.262840623070940360e+00 2.859563110432413076e-03 8.747115499516345816e-01
1.533953002929687500e+03 1.534953002929687500e+03 1.534452649396326251e+03 6.151810863218023985e-05 4.984479992671516160e-03 2.427362450258090110e-04 3.078460845770012820e+05 1.499161451666172616e+04 -3.578961263516925806e-04 9.221195336059256659e-06 nan nan nan nan nan nan nan nan 1.265454200532131956e+01 -8.163075842745639438e-03 9.064647367878785333e-01
