structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 76 Diameter 100 um Coupling Distance 0.09,5039,0,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1520.94431695,0.000896397967515,197.109423835,0.000116170253529,0.0322194094597,0.00269950466031,47205.8409033,3955.14348812,-0.000167041012256,4.54598949801,-0.0030740231399,0.414292375139,0,0.00126769816294,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,54,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1520.94431695,0.000896397967515,197.109423835,0.000116170253529,0.0322194094597,0.00269950466031,47205.8409033,3955.14348812,-0.000167041012256,4.54598949801,-0.0030740231399,0.414292375139,2.17735189056,0.000788776938865,67.5788888459,5.66215314498
mple 76 Diameter 100 um Coupling Distance 0.09,5039,3,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1525.29902073,0.000279442818206,196.546679651,3.60083874204e-05,0.012253819691,0.000773927335718,124475.392914,7861.62287602,-0.000290796928926,17.1223987885,-0.0111490502798,0.667391432259,2.17735189056,0.000509360918727,177.687606434,11.2224794091
mple 76 Diameter 100 um Coupling Distance 0.09,5039,57,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1525.29902073,0.000279442818206,196.546679651,3.60083874204e-05,0.012253819691,0.000773927335718,124475.392914,7861.62287602,-0.000290796928926,17.1223987885,-0.0111490502798,0.667391432259,2.13740461273,0.000447920620292,174.427620664,11.0165687316
mple 76 Diameter 100 um Coupling Distance 0.09,5039,6,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1529.57382996,0.000753834638626,195.997376608,9.65952794645e-05,0.0167413522816,0.00216889324692,91365.0106772,11836.6157841,-6.45488963297e-05,-2.22917459985,0.00153389659456,0.23755937015,2.13740461273,0.000667624197401,127.672160336,16.540365828
mple 76 Diameter 100 um Coupling Distance 0.09,5039,60,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1529.57382996,0.000753834638626,195.997376608,9.65952794645e-05,0.0167413522816,0.00216889324692,91365.0106772,11836.6157841,-6.45488963297e-05,-2.22917459985,0.00153389659456,0.23755937015,0.603648811081,0.000653818188644,36.05735074,4.67150300863
mple 76 Diameter 100 um Coupling Distance 0.09,5039,7,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1530.78112758,7.15046014613e-05,195.842797248,9.14804926318e-06,0.0055823866249,0.000245726765617,274216.250224,12070.513344,-0.000309890012502,-4.32294936422,0.00290568201062,0.857086189109,0.603648811081,0.000381970347829,108.134540232,4.76038259428
mple 76 Diameter 100 um Coupling Distance 0.09,5039,61,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1530.78112758,7.15046014613e-05,195.842797248,9.14804926318e-06,0.0055823866249,0.000245726765617,274216.250224,12070.513344,-0.000309890012502,-4.32294936422,0.00290568201062,0.857086189109,1.83576090695,6.91433326144e-05,328.848757762,14.4753448003
mple 76 Diameter 100 um Coupling Distance 0.09,5039,9,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1534.4526494,6.15181086322e-05,195.37419947,7.83279381846e-06,0.00498447999267,0.000242736245026,307846.084577,14991.6145167,-0.000357896126352,12.6545420053,-0.00816307584275,0.906464736788,1.83576090695,6.41606209041e-05,368.29537076,17.9354031943
mple 76 Diameter 100 um Coupling Distance 0.09,5039,63,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1534.4526494,6.15181086322e-05,195.37419947,7.83279381846e-06,0.00498447999267,0.000242736245026,307846.084577,14991.6145167,-0.000357896126352,12.6545420053,-0.00816307584275,0.906464736788,0.928754224012,6.38038776072e-05,186.329210946,9.07394514051
