StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.520308349609375000e+03 1.521308349609375000e+03 1.520807809336096398e+03 3.139801000188130822e-05 2.425704536892430135e-03 7.232438935264590271e-05 6.269550912760393694e+05 1.869318519153745365e+04 -2.222323465090977781e-04 4.339243815391531780e-06 nan nan nan nan nan nan nan nan 1.488946483157157452e+01 -9.709095394155953587e-03 8.825689069261415387e-01
1.521191162109375000e+03 1.522191162109375000e+03 1.521425789591361081e+03 2.913513051540803436e-02 8.289669235858569962e-01 1.407024525934578163e-01 1.835327497760874621e+03 3.115143373558199755e+02 -8.220188122776899559e-03 3.783521784658358880e-03 nan nan nan nan nan nan nan nan 8.892588754948809182e+00 -5.755959704709958519e-03 7.015764613264237060e-01
1.521892211914062500e+03 1.522892211914062500e+03 1.522393474581027021e+03 1.016908899055566447e-04 4.017987498128094970e-03 2.788419195609120036e-04 3.788945274942447431e+05 2.629467548291029379e+04 -1.130884050117934023e-04 5.093749769236656397e-06 nan nan nan nan nan nan nan nan -1.544281835228904498e+01 1.022913132327551294e-02 6.940017332375649772e-01
1.523678833007812500e+03 1.524678833007812500e+03 1.524178285110981733e+03 1.278242117701870945e-04 5.052419670963439156e-03 3.503510295105417361e-04 3.016729377946425229e+05 2.091897174324510343e+04 -1.782234840689424324e-04 7.682644428372249540e-06 nan nan nan nan nan nan nan nan 2.067366605573972649e+01 -1.348587048078214203e-02 7.251062554044600539e-01
1.524241088867187500e+03 1.525241088867187500e+03 1.524673489128967731e+03 3.607928747644749759e-03 1.708552732912862471e-01 1.358028294229531203e-02 8.923771913844273513e+03 7.092982570670282030e+02 -5.437906363781554089e-04 4.029720484888181211e-05 nan nan nan nan nan nan nan nan -7.959303136911124454e+00 5.297993941908759295e-03 5.967994852095808156e-01
1.525566284179687500e+03 1.526566284179687500e+03 1.526054379886110155e+03 8.186941739561999140e-05 2.601264795864217244e-03 2.183129962314094257e-04 5.866586063488817308e+05 4.923574036777101719e+04 -5.955056900021455740e-05 3.415195815341885045e-06 1.526066231244442406e+03 8.186941739561999140e-05 2.380394159181568187e-03 2.183129962314094257e-04 6.410981245934234466e+05 4.444012712550596916e+04 -7.711260619626843758e-05 3.415195815341885045e-06 -2.005804226231441234e+01 1.322982380016057835e-02 8.244715509720306201e-01
1.527365844726562500e+03 1.528365844726562500e+03 1.527848750156151709e+03 1.421924803842948776e-03 2.205009652616160554e-02 4.074245586079803388e-03 6.928988942716948804e+04 1.280284763503147951e+04 -1.006155522287857960e-04 1.563551313467416798e-05 1.527865525078959081e+03 1.421924803842948776e-03 4.551942753265584250e-03 4.074245586079803388e-03 3.356513049253225909e+05 2.305559886102472592e+04 -1.892870817526267008e-04 1.563551313467416798e-05 5.176441234848653039e+00 -3.306201574372915480e-03 7.330522923956304115e-01
1.527938110351562500e+03 1.528938110351562500e+03 1.528542861855790306e+03 6.206488166334579379e-03 1.192264740302395321e-01 2.256902184064046510e-02 1.282049875489989245e+04 2.426861305991630161e+03 -1.645364381500914969e-04 2.708241985541620046e-05 1.528437571948314144e+03 6.206488166334579379e-03 8.777186478497126659e-03 2.256902184064046510e-02 1.741375297987312078e+05 4.191380236276076903e+04 -2.824970771579088150e-05 2.708241985541620046e-05 -2.938430367785708874e+00 2.004048317747289878e-03 2.131902248171552161e-01
1.529129516601562500e+03 1.530129516601562500e+03 1.529629237342382339e+03 9.098277035940954089e-04 1.720854393151969100e-02 3.242206809984523111e-03 8.888777827045942831e+04 1.674706245811138797e+04 -1.300795418118198148e-04 2.441871984237468192e-05 1.529597269365188822e+03 9.098277035940954089e-04 3.773377146263803827e-02 3.242206809984523111e-03 4.053655942872591550e+04 1.209539853247565588e+04 -1.215205202606478108e-04 2.441871984237468192e-05 -3.953364317718013776e+00 2.669237840560714867e-03 3.233031646262549685e-01
1.531052856445312500e+03 1.532052856445312500e+03 1.531554360639736387e+03 1.914256611080595498e-04 7.491017484550017286e-03 5.347466810475931098e-04 2.044521139883224096e+05 1.459482501730599142e+04 -1.414473742548718336e-04 6.831775315455453738e-06 1.531271488651729896e+03 1.914256611080595498e-04 3.810575439126858560e-02 5.347466810475931098e-04 4.018478345629078831e+04 3.588990878392261493e+03 -2.539619330042709321e-04 6.831775315455453738e-06 -4.787953942340038793e+00 3.206630253684409661e-03 6.306252568482764165e-01
