structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,0,51,1521.92765155,1521.92765155,1521.92765155,5.84992400642e-05,196.982069216,0,0.000116998480128,,
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,51,1,1521.92765155,1523.56219879,1522.74492517,7.40948823876e-05,196.876346816,1.63454723604,0.000148189764775,14.1858984312,0.0012861091539
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,1,52,1523.56219879,1523.56219879,1523.56219879,8.69364256453e-05,196.770737839,0,0.000173872851291,,
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,52,2,1523.56219879,1525.46215456,1524.51217667,6.59861564948e-05,196.648122978,1.8999557677,0.00013197231299,12.2325867598,0.000849685055671
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,2,53,1525.46215456,1525.46215456,1525.46215456,3.39176000615e-05,196.525660833,0,6.7835200123e-05,,
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,53,5,1525.46215456,1530.94912988,1528.20564222,4.56145010155e-05,196.172851165,5.48697532623,9.1229002031e-05,4.25628391975,7.07674108449e-05
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,5,56,1530.94912988,1530.94912988,1530.94912988,5.48722317011e-05,195.821305978,0,0.000109744463402,,
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,56,6,1530.94912988,1532.77927678,1531.86420333,4.44085221764e-05,195.704330284,1.83014690147,8.88170443528e-05,12.821964923,0.00062225050846
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,6,57,1532.77927678,1532.77927678,1532.77927678,3.05494987181e-05,195.58749426,0,6.10989974363e-05,,
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,57,8,1532.77927678,1536.47381996,1534.62654837,3.49435892615e-05,195.35206029,3.69454317532,6.9887178523e-05,6.37447860591,0.000120582056884
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,8,59,1536.47381996,1536.47381996,1536.47381996,3.88437509649e-05,195.117192435,0,7.76875019298e-05,,
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,59,9,1536.47381996,1538.32116756,1537.39749376,3.63598133311e-05,194.999965342,1.84734759697,7.27196266622e-05,12.7945117513,0.000503647928032
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,9,60,1538.32116756,1538.32116756,1538.32116756,3.36932495007e-05,194.882879026,0,6.73864990014e-05,,
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,60,10,1538.32116756,1540.18329335,1539.25223045,3.43340285572e-05,194.764998269,1.86212579383,6.86680571145e-05,12.7236164002,0.000469198514895
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,10,61,1540.18329335,1540.18329335,1540.18329335,3.49630658269e-05,194.647260034,0,6.99261316539e-05,,
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,61,12,1540.18329335,1543.90692235,1542.04510785,3.73435684064e-05,194.41224934,3.72362899774,7.46871368128e-05,6.38598291098,0.000128087994314
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,12,63,1543.90692235,1543.90692235,1543.90692235,3.95811600465e-05,194.17780545,0,7.9162320093e-05,,
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,63,17,1543.90692235,1553.2813647,1548.59414353,4.66872386135e-05,193.59007604,9.3744423562,9.3374477227e-05,2.55817224134,2.54812353891e-05
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,17,68,1553.2813647,1553.2813647,1553.2813647,5.28462701435e-05,193.005893724,0,0.000105692540287,,
