structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair,ng_fit,sigma_ng_fit
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,61,4,1527.32142404,1528.45557761,1527.88850082,0.000316620960444,196.213570453,1.13415356589,0.000633241920887,20.5831321362,0.0114923640985,1.78532087127,1.03552888003e-05
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,4,62,1528.45557761,1528.45557761,1528.45557761,0.000395494512089,196.140772681,0,0.000790989024179,,,1.78532087127,1.03552888003e-05
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,62,6,1528.45557761,1530.97223534,1529.71390647,0.000297872292983,195.97942905,2.51665773001,0.000595744585965,9.29814415264,0.00220106471723,1.78532087127,1.03552888003e-05
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,6,64,1530.97223534,1530.97223534,1530.97223534,0.000145051359045,195.818350641,0,0.00029010271809,,,1.78532087127,1.03552888003e-05
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,64,11,1530.97223534,1536.49872757,1533.73548146,0.000116497257253,195.465555583,5.52649223842,0.000232994514506,4.25648752517,0.000179452831893,1.78532087127,1.03552888003e-05
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,11,69,1536.49872757,1536.49872757,1536.49872757,7.81237808497e-05,195.114029462,0,0.000156247561699,,,1.78532087127,1.03552888003e-05
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,69,15,1536.49872757,1540.20103198,1538.34987978,8.3115607201e-05,194.879241674,3.70230440209,0.000166231214402,6.39201993025,0.000286998635789,1.78532087127,1.03552888003e-05
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,15,97,1540.20103198,1586.04357027,1563.12230112,8.27714511461e-05,191.790788081,45.8425382933,0.000165542902292,0.532987792394,1.92551036012e-06,1.78532087127,1.03552888003e-05
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,97,40,1586.04357027,1588.01621992,1587.0298951,0.000120175319601,188.901582085,1.97264965271,0.000240350639201,12.7679230038,0.00155566439366,1.78532087127,1.03552888003e-05
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,40,98,1588.01621992,1588.01621992,1588.01621992,0.00015131117546,188.784254367,0,0.00030262235092,,,1.78532087127,1.03552888003e-05
