structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair,ng_fit,sigma_ng_fit
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,68,4,1523.96200669,1524.77584683,1524.36892676,0.000817926770335,196.666602643,0.813840139708,0.00163585354067,28.5522980681,0.0573913502992,3.48594198114,4.00095987919e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,4,69,1524.77584683,1524.77584683,1524.77584683,0.00115445153598,196.614117822,0,0.00230890307196,,,3.48594198114,4.00095987919e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,69,15,1524.77584683,1539.79132994,1532.28358838,0.000932309089647,195.650766133,15.0154831093,0.00186461817929,1.56364798797,0.000194182660026,3.48594198114,4.00095987919e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,15,80,1539.79132994,1539.79132994,1539.79132994,0.000636900406937,194.696808698,0,0.00127380081387,,,3.48594198114,4.00095987919e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,80,21,1539.79132994,1544.98786621,1542.38959807,0.000880469773348,194.368827678,5.19653627048,0.0017609395467,4.5779833882,0.0015513406097,3.48594198114,4.00095987919e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,21,86,1544.98786621,1544.98786621,1544.98786621,0.00106995883809,194.041949815,0,0.00213991767618,,,3.48594198114,4.00095987919e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,86,23,1544.98786621,1546.70566663,1545.84676642,0.00110970692584,193.934136625,1.71780041763,0.00221941385168,13.9110585881,0.0179732260324,3.48594198114,4.00095987919e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,23,88,1546.70566663,1546.70566663,1546.70566663,0.00114807970425,193.826443174,0,0.00229615940851,,,3.48594198114,4.00095987919e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,88,29,1546.70566663,1557.51197811,1552.10882237,0.000816401572588,193.151700242,10.8063114796,0.00163280314518,2.2292914664,0.000336847808483,3.48594198114,4.00095987919e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,29,94,1557.51197811,1557.51197811,1557.51197811,0.000122213125844,192.481638802,0,0.000244426251688,,,3.48594198114,4.00095987919e-05
