structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse,ng_fit,sigma_ng_fit,neff_estimated,sigma_neff_estimated
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,68,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1523.96200669,0.000102470037939,196.719115492,1.32272426342e-05,0.00766983297045,0.000280952218401,198695.592533,7278.38112299,-0.000217966621137,13.9996802434,-0.00911618377459,0.859399860131,0.813840139708,0.00163585354067,106.109238994,3.89271507857,13.0735516039,0.559509563674,2.77594210748,0.00939903630705
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,4,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1524.77584683,0.00163264101928,196.614117822,0.000210522926628,0.205394490488,0.00631364512468,7423.64531397,228.196296604,-0.00195842432679,-18.2650511052,0.0120501609494,0.877240528133,0.406920069854,0.00141483658086,1.9811635107,0.0612875543195,13.0735516039,0.559509563674,2.7704428838,0.00910526124804
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,69,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1524.77584683,0.00163264101928,196.614117822,0.000210522926628,0.205394490488,0.00631364512468,7423.64531397,228.196296604,-0.00195842432679,-18.2650511052,0.0120501609494,0.877240528133,7.50774155467,0.00148389979027,36.5527893997,1.12362366999,13.0735516039,0.559509563674,2.7704428838,0.00910526124804
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,15,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1539.79132994,0.000900713193371,194.696808698,0.000113889447805,0.147855898108,0.00318581938123,10414.1353145,224.391144084,-0.00153279532787,7.35831279277,-0.00469317453074,0.908291857002,7.50774155467,0.00112908917584,50.7774234965,1.09411692246,13.0735516039,0.559509563674,2.66898131141,0.00368506356878
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,80,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1539.79132994,0.000900713193371,194.696808698,0.000113889447805,0.147855898108,0.00318581938123,10414.1353145,224.391144084,-0.00153279532787,7.35831279277,-0.00469317453074,0.908291857002,2.59826813524,0.00108667803426,17.5729759076,0.378712471955,13.0735516039,0.559509563674,2.66898131141,0.00368506356878
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,21,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1544.98786621,0.00151315030001,194.041949815,0.000190043327199,0.204308782895,0.0058795157166,7562.02373836,217.61686803,-0.0016571337031,19.2766633332,-0.012396534813,0.906080419313,2.59826813524,0.00138565469616,12.7173589819,0.366037862652,13.0735516039,0.559509563674,2.63386763994,0.00180924954212
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,86,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1544.98786621,0.00151315030001,194.041949815,0.000190043327199,0.204308782895,0.0058795157166,7562.02373836,217.61686803,-0.0016571337031,19.2766633332,-0.012396534813,0.906080419313,0.858900208817,0.00154151269098,4.20393189488,0.121214104726,13.0735516039,0.559509563674,2.63386763994,0.00180924954212
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,23,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1546.70566663,0.00162362988844,193.826443174,0.000203466252887,0.1972505613,0.00623330037818,7841.32453889,247.793116119,-0.00152786341121,15.1588086497,-0.00972062134254,0.868614264824,0.858900208817,0.00159672679835,4.35436129134,0.137839749078,13.0735516039,0.559509563674,2.62226023909,0.00118916840525
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,88,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1546.70566663,0.00162362988844,193.826443174,0.000203466252887,0.1972505613,0.00623330037818,7841.32453889,247.793116119,-0.00152786341121,15.1588086497,-0.00972062134254,0.868614264824,5.40315573979,0.00140875779857,27.392346588,0.865652978211,13.0735516039,0.559509563674,2.62226023909,0.00118916840525
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,29,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1557.51197811,0.000172835460068,192.481638802,2.13594842702e-05,0.0139875558374,0.000557647825428,111349.830965,4439.23097224,-0.000712401488344,-1.96462832503,0.00133996157666,0.851259769685,5.40315573979,0.000825498380284,386.283050634,15.400223415,13.0735516039,0.559509563674,2.54924058687,0.00271162812434
