structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse,ng_fit,sigma_ng_fit,neff_estimated,sigma_neff_estimated
mple 76 Diameter 100 um Coupling Distance 0.09,5039,61,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1530.78112758,7.15046014613e-05,195.842797248,9.14804926318e-06,0.0055823866249,0.000245726765617,274216.250224,12070.513344,-0.000309890012502,-4.32294936422,0.00290568201062,0.857086189109,3.67152181389,9.43259546457e-05,657.697515525,28.9506839333,9.08623275228,4.02691953895,2.68042456757,0.0499308728097
mple 76 Diameter 100 um Coupling Distance 0.09,5039,9,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1534.4526494,6.15181086322e-05,195.37419947,7.83279381846e-06,0.00498447999267,0.000242736245026,307846.084577,14991.6145167,-0.000357896126352,12.6545420053,-0.00816307584275,0.906464736788,1.83576090695,6.41606209041e-05,368.29537076,17.9354031943,9.08623275228,4.02691953895,2.665060474,0.0403922128548
mple 76 Diameter 100 um Coupling Distance 0.09,5039,63,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1534.4526494,6.15181086322e-05,195.37419947,7.83279381846e-06,0.00498447999267,0.000242736245026,307846.084577,14991.6145167,-0.000357896126352,12.6545420053,-0.00816307584275,0.906464736788,0.928754224012,6.38038776072e-05,186.329210946,9.07394514051,9.08623275228,4.02691953895,2.665060474,0.0403922128548
mple 76 Diameter 100 um Coupling Distance 0.09,5039,10,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1536.31015784,7.02161386136e-05,195.137978142,8.91866479695e-06,0.00661182132196,0.000230549140375,232358.087588,8102.14837096,-0.000320205074459,-6.90295868375,0.00456709644438,0.898480736545,0.928754224012,6.8145792341e-05,140.468742089,4.89804818655,9.08623275228,4.02691953895,2.65728742101,0.0355663824915
mple 76 Diameter 100 um Coupling Distance 0.09,5039,64,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1536.31015784,7.02161386136e-05,195.137978142,8.91866479695e-06,0.00661182132196,0.000230549140375,232358.087588,8102.14837096,-0.000320205074459,-6.90295868375,0.00456709644438,0.898480736545,2.77838659257,7.34206907639e-05,420.215014484,14.6525795943,9.08623275228,4.02691953895,2.65728742101,0.0355663824915
mple 76 Diameter 100 um Coupling Distance 0.09,5039,13,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1541.86693103,8.22889601561e-05,194.434715452,1.03769204922e-05,0.0070001496661,0.000301896311752,220261.995039,9499.26602908,-0.00038987234295,13.357077907,-0.00858560695733,0.897431061913,2.77838659257,7.94429433816e-05,396.903884217,17.1173261739,9.08623275228,4.02691953895,2.63403417957,0.021129815709
mple 76 Diameter 100 um Coupling Distance 0.09,5039,67,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1541.86693103,8.22889601561e-05,194.434715452,1.03769204922e-05,0.0070001496661,0.000301896311752,220261.995039,9499.26602908,-0.00038987234295,13.357077907,-0.00858560695733,0.897431061913,0.934128963775,7.77986625123e-05,133.444141673,5.75507256813,9.08623275228,4.02691953895,2.63403417957,0.021129815709
mple 76 Diameter 100 um Coupling Distance 0.09,5039,15,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1543.73518896,6.24188165865e-05,194.199406831,7.85218685363e-06,0.00564898225488,0.000120547934949,273276.692916,5831.65949446,-0.000476753572761,-19.2221386852,0.0125326573389,0.937281135493,0.934128963775,6.79334213693e-05,165.362346991,3.52881356383,9.08623275228,4.02691953895,2.6262161436,0.0162760580624
mple 76 Diameter 100 um Coupling Distance 0.09,5039,69,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1543.73518896,6.24188165865e-05,194.199406831,7.85218685363e-06,0.00564898225488,0.000120547934949,273276.692916,5831.65949446,-0.000476753572761,-19.2221386852,0.0125326573389,0.937281135493,2.80891458055,7.12679979247e-05,497.24259235,10.6110459086,9.08623275228,4.02691953895,2.6262161436,0.0162760580624
mple 76 Diameter 100 um Coupling Distance 0.09,5039,18,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1549.35301812,9.28880192523e-05,193.495255435,1.16005783071e-05,0.00707189241836,0.00015270820115,219086.055961,4730.87478198,-0.000641470429034,12.4251277761,-0.00794613867226,0.841554291451,2.80891458055,8.62853710456e-05,397.194189954,8.57689399669,9.08623275228,4.02691953895,2.60270740327,0.00168086708474
mple 76 Diameter 100 um Coupling Distance 0.09,5039,72,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1549.35301812,9.28880192523e-05,193.495255435,1.16005783071e-05,0.00707189241836,0.00015270820115,219086.055961,4730.87478198,-0.000641470429034,12.4251277761,-0.00794613867226,0.841554291451,0.93883983766,8.78259815846e-05,132.756521468,2.86672910479,9.08623275228,4.02691953895,2.60270740327,0.00168086708474
mple 76 Diameter 100 um Coupling Distance 0.09,5039,19,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1551.23069779,7.04915583838e-05,193.261040042,8.78223458753e-06,0.00662970480058,0.000236944103349,233981.865627,8362.45730669,-0.000370339377355,-8.35303970326,0.00546608648239,0.903865055204,0.93883983766,7.67061984632e-05,141.611107267,5.06116117114,9.08623275228,4.02691953895,2.59484994043,0.00319736838135
mple 76 Diameter 100 um Coupling Distance 0.09,5039,73,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1551.23069779,7.04915583838e-05,193.261040042,8.78223458753e-06,0.00662970480058,0.000236944103349,233981.865627,8362.45730669,-0.000370339377355,-8.35303970326,0.00546608648239,0.903865055204,0.940764696948,7.3470127514e-05,141.901445878,5.07153668826,9.08623275228,4.02691953895,2.59484994043,0.00319736838135
mple 76 Diameter 100 um Coupling Distance 0.09,5039,20,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1553.11222719,8.17573185568e-05,193.026912513,1.01611219718e-05,0.00605525553238,0.000339290050889,256489.95635,14371.7288027,-0.000357434969117,18.2146108349,-0.0116581691576,0.906546917969,0.940764696948,7.90914616381e-05,155.363335522,8.70537883471,9.08623275228,4.02691953895,2.5869763678,0.00808560546484
mple 76 Diameter 100 um Coupling Distance 0.09,5039,74,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1553.11222719,8.17573185568e-05,193.026912513,1.01611219718e-05,0.00605525553238,0.000339290050889,256489.95635,14371.7288027,-0.000357434969117,18.2146108349,-0.0116581691576,0.906546917969,0.944191479546,7.84678106401e-05,155.929254265,8.73708838916,9.08623275228,4.02691953895,2.5869763678,0.00808560546484
mple 76 Diameter 100 um Coupling Distance 0.09,5039,21,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1555.00061015,6.76462254215e-05,192.792501845,8.38693242579e-06,0.00557050989647,0.000283825545944,279148.702551,14223.0306334,-0.000353484156006,-10.1737403164,0.0066184817013,0.90204154657,0.944191479546,7.14358008616e-05,169.498214184,8.63618898613,9.08623275228,4.02691953895,2.57907411528,0.0129916481971
mple 76 Diameter 100 um Coupling Distance 0.09,5039,75,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1555.00061015,6.76462254215e-05,192.792501845,8.38693242579e-06,0.00557050989647,0.000283825545944,279148.702551,14223.0306334,-0.000353484156006,-10.1737403164,0.0066184817013,0.90204154657,2.84886906414,7.67705327595e-05,511.419801254,26.0575831112,9.08623275228,4.02691953895,2.57907411528,0.0129916481971
mple 76 Diameter 100 um Coupling Distance 0.09,5039,24,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1560.69834827,9.92311612316e-05,192.088662317,1.22132384148e-05,0.00688740026539,0.000274953274646,226601.952571,9046.22157851,-0.000437455116111,-8.19020204097,0.00531390365772,0.876381557485,2.84886906414,9.23532374796e-05,413.634891885,16.51280616,9.08623275228,4.02691953895,2.5552309826,0.0277944436788
mple 76 Diameter 100 um Coupling Distance 0.09,5039,78,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1560.69834827,9.92311612316e-05,192.088662317,1.22132384148e-05,0.00688740026539,0.000274953274646,226601.952571,9046.22157851,-0.000437455116111,-8.19020204097,0.00531390365772,0.876381557485,0.951863419772,9.39342828499e-05,138.203586708,5.51726970568,9.08623275228,4.02691953895,2.5552309826,0.0277944436788
