structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse,ng_fit,sigma_ng_fit,neff_estimated,sigma_neff_estimated
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,63,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1530.77964121,7.55955287363e-05,195.84298741,9.67144700908e-06,0.00578131076936,0.000254802522174,264780.722275,11669.80959,-0.000307200894104,6.0237127764,-0.00385571625739,0.851426693479,3.67670012934,0.000100268306738,635.963067204,28.0291150258,12.7766372042,0.0400766530823,2.726192657,0.000496959775099
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,8,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1534.45634134,6.58714609771e-05,195.373729394,8.3870440918e-06,0.00440814670992,0.000249194795605,348095.569933,19678.0211977,-0.000308168790072,19.1593165342,-0.0124072253192,0.893103689563,1.83835006467,6.84321417148e-05,417.034682747,23.5751897332,12.7766372042,0.0400766530823,2.70205301615,0.000401895365053
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,66,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1534.45634134,6.58714609771e-05,195.373729394,8.3870440918e-06,0.00440814670992,0.000249194795605,348095.569933,19678.0211977,-0.000308168790072,19.1593165342,-0.0124072253192,0.893103689563,0.926806110248,7.5293878965e-05,210.248472031,11.8854662887,12.7766372042,0.0400766530823,2.70205301615,0.000401895365053
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,10,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1536.30995356,9.82828811374e-05,195.138004089,1.24836301535e-05,0.00711741572006,0.000315573804213,215852.215746,9570.51091996,-0.000324732427098,-6.39956584599,0.0042367326103,0.836388502705,0.926806110248,9.12655788691e-05,130.216661033,5.77359396422,12.7766372042,0.0400766530823,2.68988299093,0.000353968543176
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,68,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1536.30995356,9.82828811374e-05,195.138004089,1.24836301535e-05,0.00711741572006,0.000315573804213,215852.215746,9570.51091996,-0.000324732427098,-6.39956584599,0.0042367326103,0.836388502705,2.78016767795,9.83896314332e-05,390.614766272,17.3191832385,12.7766372042,0.0400766530823,2.68988299093,0.000353968543176
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,13,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1541.87028891,9.87091896444e-05,194.434292012,1.24475136084e-05,0.00731853505101,0.000370003029354,210680.180961,10651.3536708,-0.000378543054971,13.8206489386,-0.00889267523579,0.875962395155,2.78016767795,9.86027853124e-05,379.880352909,19.2056080861,12.7766372042,0.0400766530823,2.65337620664,0.000210201039253
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,71,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1541.87028891,9.87091896444e-05,194.434292012,1.24475136084e-05,0.00731853505101,0.000370003029354,210680.180961,10651.3536708,-0.000378543054971,13.8206489386,-0.00889267523579,0.875962395155,0.933266681495,9.39606912599e-05,127.520969018,6.44708784896,12.7766372042,0.0400766530823,2.65337620664,0.000210201039253
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,14,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1543.73682228,7.79995746617e-05,194.199201362,9.81220042647e-06,0.00549066884711,0.000154089533174,281156.424702,7890.34331478,-0.00042764688369,-10.7027797306,0.00700835167375,0.881085577134,0.933266681495,8.36589879548e-05,169.973223205,4.77013437809,12.7766372042,0.0400766530823,2.64112134673,0.00016194012954
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,72,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1543.73682228,7.79995746617e-05,194.199201362,9.81220042647e-06,0.00549066884711,0.000154089533174,281156.424702,7890.34331478,-0.00042764688369,-10.7027797306,0.00700835167375,0.881085577134,3.74753958978,7.92168810009e-05,682.528794602,19.1544192704,12.7766372042,0.0400766530823,2.64112134673,0.00016194012954
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,19,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1551.23190146,8.27614402958e-05,193.260890083,1.03108694458e-05,0.00696970419784,0.000280513757609,222567.824605,8957.8172948,-0.00034770106218,4.1294016372,-0.00258925297743,0.874064208756,3.74753958978,8.1597030655e-05,537.689905253,21.6407229835,12.7766372042,0.0400766530823,2.59191186181,3.18519273007e-05
