structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,rejection_reason,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,0,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1521.94103259,0.000239120843952,196.980337333,3.09487053021e-05,0.00768451927687,0.000656954100768,198052.861572,16931.6563459,-0.000154549185033,16.2801673359,-0.0106315617489,0.607016176896,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,58,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1521.94103259,0.000239120843952,196.980337333,3.09487053021e-05,0.00768451927687,0.000656954100768,198052.861572,16931.6563459,-0.000154549185033,16.2801673359,-0.0106315617489,0.607016176896,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,2,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1525.46263188,0.000300337953337,196.525599339,3.86925874487e-05,0.0177243187247,0.000511855529414,86066.0799195,2485.47769801,-0.00138770717169,20.0520044473,-0.0130813797007,0.685721892708,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,60,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1525.46263188,0.000300337953337,196.525599339,3.86925874487e-05,0.0177243187247,0.000511855529414,86066.0799195,2485.47769801,-0.00138770717169,20.0520044473,-0.0130813797007,0.685721892708,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,5,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1529.13383487,0.000113070114712,196.053773164,1.449698e-05,0.00463821556124,0.000188487854053,329681.493817,13397.6001051,-0.000358333565215,1.05319874602,-0.000626202449276,0.502620996386,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,63,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1529.13383487,0.000113070114712,196.053773164,1.449698e-05,0.00463821556124,0.000188487854053,329681.493817,13397.6001051,-0.000358333565215,1.05319874602,-0.000626202449276,0.502620996386,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,8,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1533.95662956,0.00305718366954,195.437375622,0.000389507722485,0.391665606162,0.0157480077576,3916.49561623,157.473626616,-0.00238686255918,-9.17244225486,0.00604684838464,0.772300843478,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,66,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1533.95662956,0.00305718366954,195.437375622,0.000389507722485,0.391665606162,0.0157480077576,3916.49561623,157.473626616,-0.00238686255918,-9.17244225486,0.00604684838464,0.772300843478,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,10,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1535.95405883,0.000665360345773,195.183219365,8.45514705205e-05,0.0179016472963,0.00190039549914,85799.5933787,9108.27693044,-0.000140015728951,-1.22020305619,0.000856093910835,0.276402521944,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,68,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1535.95405883,0.000665360345773,195.183219365,8.45514705205e-05,0.0179016472963,0.00190039549914,85799.5933787,9108.27693044,-0.000140015728951,-1.22020305619,0.000856093910835,0.276402521944,low_R2,,,,
